"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","count-N0","count-N1","count-N2","count-N3","count-NX"
"ZNF780A",0.968672815973641,0.685329785026486,0.914934219602334,0.996544950274898,0.999591172398324,0.999945505043766,0.996399563140616,0.98593348736789,0.917736157274515,0.98633769385087,234.448699685535,248.128126717557,279.7803875,267.5827,203.83135,7.30292461298445,28.7386828761215,30.8180421631076,73.3766378577541,36.5171126143506,154.666475,141.577,151.9874,166.1491,146.616975,284.4621,265.94225,291.590925,319.7609,254.13075,318,131,40,5,6
"ZNF461",0.999951594409316,0.993941250082746,0.991352830746793,0.9228451698351,0.916807970599061,0.968749821758296,0.569178974531765,0.601364083063873,0.523371862547556,0.479872592411633,112.69126918239,111.596229770992,118.7181925,145.11012,59.1459333333333,4.76788861514919,8.47401528519905,12.0530607338362,30.0428986851369,10.0335749074019,65.529675,60.75755,75.071975,105.2233,38.709625,140.00575,134.81155,138.90535,147.479,78.315575,318,131,40,5,6
"ZNF181",0.999996608216642,0.58651160517453,0.631049053348228,0.9970849166978,0.996721714985378,0.999685653495743,0.708629294404931,0.727913848479792,0.399420139619205,0.796265869570492,181.267260691824,180.577090076336,207.5284175,197.70564,125.220283333333,5.6761908564693,9.86608068006306,21.6473222240807,27.7679911492099,16.4812577624285,121.627825,122.66595,124.73175,147.8992,109.96615,210.327825,198.3887,212.41075,239.2233,155.290225,318,131,40,5,6
"ZNF44",0.916722233096991,0.992010345382693,0.898215803976994,0.945750086544082,0.982573863771802,0.909718695171686,0.970201140852748,0.920748848074573,0.993290783942233,0.862861207673159,170.32684591195,163.049657251908,176.49907,142.43908,191.887383333333,4.51151976085503,6.24478506060577,20.5440859815822,9.22648639620739,36.0925497169468,119.832075,118.84755,115.170225,127.7311,119.1753,202.40915,198.55225,196.13785,146.0333,233.66975,318,131,40,5,6
"ZNF790",0.993220501965198,0.941597329907535,0.990563855370409,0.907165766548382,0.940318490187177,0.980761357583585,0.999897799398205,0.999999498223813,0.999872914952342,0.981972100458619,73.6424811320755,71.4097442748092,67.1732325,53.72858,70.5941333333333,2.80897027559211,4.88249026146773,6.10414610936948,11.784937210414,17.5928057879098,40.5413,32.44655,39.807725,43.6975,49.18465,93.375475,98.4145,88.91515,52.2332,69.062925,318,131,40,5,6
"ZNF677",0.998452254849098,0.995364399945607,0.999706683890218,0.993022745827899,0.9965269934577,0.998827151629968,0.984837666972968,0.99181699916885,0.996899316809909,0.999999483637936,21.1685927672956,20.2370801526718,19.1736225,15.20784,14.4806333333333,1.61267324659112,3.0908256845884,5.50319110915225,8.21226466564492,2.76486322346051,3.896825,3.14515,2.02035,5.8252,9.986525,27.38045,16.2607,11.165425,10.598,19.895475,318,131,40,5,6
"ZNF823",0.996837989398086,0.630681423489835,0.808573442759726,0.930672065138061,0.95384148441916,0.998896872540744,0.999996950222004,0.999896668204039,0.976278751820542,0.969080243447191,96.2423996855346,97.9406358778626,107.2403475,113.16852,95.0707333333333,2.64003226153545,3.88520958410882,8.96325486989691,7.1372198801354,14.0827561431387,62.705625,65.73715,71.13345,105.0725,72.7219,117.254775,118.0257,125.0549,123.1068,119.824475,318,131,40,5,6
"ZNF311",0.939535086955203,0.643606548759903,0.919356315181147,0.98290944581121,0.953979974579693,0.854753658956988,0.901666682535733,0.959800969067089,0.998047897769922,0.852208684028848,51.3993531446541,47.7139969465649,40.738755,62.67798,34.5148666666667,2.74465141023841,3.72002635012213,6.07826637439403,10.8543401192518,6.28353449600179,17.07075,16.5038,12.617225,47.0588,22.766175,69.874675,68.66355,51.247025,84.2718,44.085625,318,131,40,5,6
"ZNF347",0.999999192929068,0.998389369777637,0.999175021460959,0.994974192797842,0.994690916886505,0.989440624216505,0.999999993389085,0.999999928463049,0.999945618640945,0.998588843244548,89.8934305031447,89.5653511450382,86.31495,102.77324,90.2851166666667,3.72526628650784,6.9926577776792,13.7556321943837,65.6854344004027,18.3341243630998,34.269325,26.70715,22.05195,21.7391,55.467675,136.505825,130.14495,117.9237,76.5049,111.0697,318,131,40,5,6
"ZNF273",0.908283364838984,0.999821603264983,0.997011878939953,0.603338809822761,0.737100004141682,0.686994809279788,0.96081679118909,0.901772732741839,0.955558492368471,0.541573368729019,206.628625786164,218.056526717557,210.198335,288.76774,171.140733333333,6.67361547299703,13.1030674090493,17.9412558906305,30.3291535737251,23.1420098842151,133.2835,132.40275,128.41335,232.0212,122.88435,244.03825,246.496,264.5766,335.4501,213.94185,318,131,40,5,6
