"gene","p-adj-M1-M0","mean-M0","mean-M1","SEM-M0","SEM-M1","Q1-M0","Q1-M1","Q3-M0","Q3-M1","count-M0","count-M1"
"ZNF215",0.218745599891805,25.2506852747253,10.7545,0.953911954516916,7.30692721828631,8.78885,3.5722,35.35425,15.5094,455,3
"ZNF547",0.000181461710448194,66.4706734065934,135.733733333333,1.43723156400678,71.7860917896434,45.63985,65.0299,77.32185,181.8401,455,3
"ZNF773",0.00281107925051249,151.924125054945,217.2574,1.72173810283971,71.2716900074637,131.5331,148.1037,171.6601,266.7696,455,3
"ZNF776",0.00630846460602053,504.805445494505,758.426666666667,7.46134260019222,135.25997999017,418.8547,635.8746,596.68475,869.27275,455,3
"ZNF256",8.10799660744266e-09,108.351804835165,222.1727,1.51862054988583,74.7422461454252,89.19575,152.36495,120.6636,280.2058,455,3
"ZNF599",0.981786480006178,153.980088791209,153.285133333333,2.45314881345839,49.818063718071,121.94075,103.8215,174.256,183.1542,455,3
"ZNF18",0.295173633055116,276.218004615385,197.428533333333,6.08815271255935,63.526581526957,188.9118,139.5548,329.016,249.05225,455,3
"ZKSCAN2",0.210286951525732,192.693068131868,234.802833333333,2.70403859632987,58.8426620364945,156.01955,190.94565,219.1279,290.70575,455,3
"ZNF689",0.592795916209068,135.968958901099,153.270233333333,2.59738618387122,66.826217749656,102.8226,89.4635,173.32205,202.3734,455,3
"ZNF19",0.176936486517697,63.9083459340659,47.7038333333333,0.969618202051047,12.4137171732635,50.8875,35.4184,75.20535,55.3881,455,3
"ZNF230",0.000224592295730908,91.4047037362637,135.578133333333,0.960449993170768,13.7937833548708,76.6035,124.70445,105.11665,148.36505,455,3
"ZNF222",0.0185848190740029,61.1856032967033,80.9368333333333,0.670402742396867,19.0224234671727,51.90925,63.3988,69.49435,96.0857,455,3
"ZNF221",0.792063126208886,15.1686208791209,16.7028,0.471626864601369,1.93671856585652,8.19755,15.52625,19.92955,18.62335,455,3
"ZNF233",0.0782002341663659,126.537302637363,75.3840333333333,2.34300812756881,34.8288409737454,93.09355,44.00035,152.921,104.1558,455,3
"ZNF235",0.0416548888255152,105.249496703297,144.218566666667,1.54156857761558,24.837714212083,83.7754,119.93895,121.7143,160.8926,455,3
"ZNF208",0.00010761318579533,27.6359859340659,180.7509,3.06025014830149,159.549550629044,7.38795,21.618,25.39735,270.29655,455,3
"ZNF714",0.688326876864264,160.95287032967,183.0517,4.46264661274689,30.8492832941599,93.9239,161.3113,213.686,212.87645,455,3
"ZNF394",0.322684723584212,475.710855164835,402.118566666667,6.02794179992296,23.7023240767886,389.0847,385.87205,529.96485,425.188,455,3
"ZNF333",0.113853187503439,185.902381098901,235.257433333333,2.52514193326654,18.3366944139643,146.3069,216.9471,219.2556,245.2638,455,3
"ZNF382",0,39.4521650549451,142.569266666667,0.787770006393369,72.7433171135863,29.22735,75.45665,47.33735,200.42815,455,3
"ZNF577",0.0151047230295359,445.266712527473,742.915466666667,9.82302039424635,226.018746685936,300.02335,550.95135,547.6438,942.22075,455,3
"ZNF75A",0.24009777711891,470.521075604396,556.490566666667,5.86867152296063,155.385981898865,387.46435,462.5753,532.5094,710.65615,455,3
"ZNF496",0.515178973701108,291.395805274725,332.198633333333,5.06575775850671,74.0935237106531,214.53285,259.52605,349.76145,381.0413,455,3
"ZNF2",0.00114034535902974,114.155537142857,161.343466666667,1.16221227481892,23.3239174252049,98.73145,145.1617,128.0076,183.9814,455,3
"ZNF589",0.0400043621528358,963.072974505494,1649.23973333333,26.3680517866831,1097.04826692231,583.30925,563.06195,1182.9719,2325.74355,455,3
