"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","mean-T1","mean-T2","mean-T3","mean-T4","SEM-T1","SEM-T2","SEM-T3","SEM-T4","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q3-T1","Q3-T2","Q3-T3","Q3-T4","count-T1","count-T2","count-T3","count-T4"
"ZKSCAN3",0.993480395357926,0.802969515864863,0.637640479812851,0.990274759593144,0.976336445015078,0.999691984250296,48.6997428571429,46.41818,57.3020647058824,55.23555,7.27981487506173,4.69274567624683,7.37596480353159,28.91975,30.9955,30.0853,38.4059,40.775675,60.5317,61.0863,73.4424,69.695425,21,25,17,2
"ZNF676",0.93741900522765,0.959267052284528,0.999989736137176,0.661014755633821,0.792755359103252,0.794290038512765,60.6676666666667,48.616036,49.2868647058824,1.0965,14.905926325301,14.8100897595028,16.5614247630355,1.0965,1.576,2.1497,1.1484,0.54825,103.5569,73.1926,56.6223,1.64475,21,25,17,2
"ZNF699",0.999393485824153,0.98158077878668,0.992316217656947,0.67064244948566,0.694962730063269,0.774021858179847,38.7660523809524,38.070828,36.3352,22.1905,4.80288540067134,3.88238407151036,4.01640367821725,18.901,28.0905,20.2068,22.0835,12.74,50.5155,55.348,51.0057,31.641,21,25,17,2
"ZNF250",0.908348642470056,0.914574300886363,0.99996386246381,0.741336677239444,0.571757145531633,0.57329757299525,300.839319047619,319.485272,320.856717647059,230.1217,16.0344872304973,16.5325505163707,30.0547552177373,107.4298,246.4908,243.3398,255.8513,176.4068,351.9325,371.4058,355.244,283.8366,21,25,17,2
"ZNF79",0.633446771290737,0.878341389902143,0.985127825313385,0.59630399504306,0.311330131745345,0.405936327184114,122.395780952381,139.004752,133.829147058824,78.8096,11.5249615400156,8.99754777400694,10.5780011988467,6.9894,76.0319,108.1571,86.5854,75.3149,161.119,157.9334,157.6868,82.3043,21,25,17,2
"ZNF681",0.999997184164361,0.987519483571883,0.983778980664039,0.395462525076282,0.393682176874235,0.326658412647442,117.760161904762,117.451056,123.436141176471,55.9113,11.7228280632348,8.01732883397182,16.2968707587893,26.3255,72.498,88.4361,70.155,42.74855,141.5094,152.5261,155.5451,69.07405,21,25,17,2
"ZNF766",0.154682809101491,0.999477586792878,0.243065179484747,0.0438764384546961,0.00380253135244568,0.041523884226679,413.590719047619,471.456208,416.972529411765,230.73485,20.4609377916051,18.1912936780189,22.5723436846232,2.66464999999999,330.9503,414.5455,370.155,229.402525,498.1132,539.4518,470.8668,232.067175,21,25,17,2
"ZNF471",0.779719834624363,0.209028865542355,0.655792323922269,0.175937110706687,0.333089356052668,0.639508547393831,173.24389047619,152.020076,124.472552941176,57.48045,16.5290321679014,14.8459853098734,19.1983796285748,35.55065,125.2926,99.5835,82.6873,39.705125,241.8552,211.6193,168.1549,75.255775,21,25,17,2
"ZNF836",0.16928243642834,0.982102604184988,0.399360656023539,0.310059327350422,0.796093256925679,0.40655031085978,128.032285714286,97.941036,122.098029411765,65.1142,10.7864868372009,7.32276572001517,15.2863107228325,12.1884,87.8851,70.6977,77.9454,59.02,170.6799,120.3919,122.5423,71.2084,21,25,17,2
"ZNF493",0.524129970023234,0.971252519538759,0.839462122029331,0.0232768832916405,0.0856959766593943,0.0412408744725828,575.216642857143,481.395624,541.940847058824,70.86755,57.5836671921332,33.1850364050201,67.024922225142,8.07985,420.8038,395.8587,325.2997,66.827625,696.4255,580.6017,680.2218,74.907475,21,25,17,2
