"gene","p-adj-G2-G1","p-adj-G3-G1","p-adj-G3-G2","p-adj-GX-G1","p-adj-GX-G2","p-adj-GX-G3","mean-G1","mean-G2","mean-G3","mean-GX","SEM-G1","SEM-G2","SEM-G3","SEM-GX","Q1-G1","Q1-G2","Q1-G3","Q1-GX","Q3-G1","Q3-G2","Q3-G3","Q3-GX","count-G1","count-G2","count-G3","count-GX"
"ZNF417",0.134239257571414,0.000587606286193365,0.0271730959703576,0.00183354467064534,0.085975642658762,0.983891909515429,135.2987,218.755923611111,298.513516666667,286.9159525,22.3325002903679,12.5401553158645,30.8809519496803,24.8162154068257,79.94235,136.99535,197.47325,183.770725,167.81775,277.96095,346.15845,318.83945,18,72,42,40
"ZNF791",0.10284420709271,0.227542026231557,0.985797421003512,0.132797725636967,0.999879510029277,0.983257824373594,285.405683333333,368.269684722222,359.08974047619,370.1439425,17.8684612609975,16.5092809274729,24.5431083274813,19.9428135796913,238.8937,266.6345,247.254475,289.615825,327.11285,446.92845,422.9666,427.12215,18,72,42,40
"ZNF519",0.363729972707618,0.0733332548894569,0.546552230159797,0.403676397088611,0.999893864135061,0.68539702128865,46.3446666666667,68.3909055555556,81.6100928571429,69.06378,5.83752291094019,6.07481133622786,10.2111054597623,6.35790451520097,31.72965,37.24875,38.4036,36.648325,53.3228,93.3443,115.2292,96.059,18,72,42,40
"ZNF25",0.639423888141752,0.6723172432981,0.999985429182932,0.844686889136836,0.97862078012242,0.980510414687761,168.403344444444,199.862680555556,200.535928571429,191.9368475,22.0392183497359,12.0496402489491,17.2319808212308,14.1702123219042,86.475675,120.450475,118.7435,135.598925,253.269675,272.012625,248.07615,251.25675,18,72,42,40
"ZNF77",0.811100868474396,0.189655562155658,0.323666424796541,0.43551657345459,0.75962197718869,0.924743097909819,74.4220944444444,84.6160902777778,99.0476095238095,93.0562925,6.85018902185876,4.4317063534632,6.60526788110866,9.09091442110268,56.36865,61.757175,70.946775,62.77095,98.659525,99.7346,127.346825,99.65865,18,72,42,40
"ZNF169",0.120690367966706,0.227045130286775,0.994746027852832,0.179630564798508,0.999965983246366,0.99806826586936,81.5584,114.699288888889,111.99865,114.191835,9.3829569372667,7.75919107822824,8.30078116033965,7.30978623706581,53.803675,65.276025,75.51805,80.438225,111.585275,143.43005,139.558,146.906425,18,72,42,40
"ZNF613",0.371322117507269,0.0933682649880173,0.628942382244133,0.253132729719398,0.958320585539638,0.930655144273984,55.2020166666667,79.6018902777778,92.913630952381,85.275955,8.74324638783458,5.41944580748427,9.96828685084832,11.4790089246153,26.37495,48.904075,56.26475,45.277725,87.80805,107.0496,112.691025,92.20675,18,72,42,40
"ZNF404",0.990870373048566,0.999154251316126,0.996725435413091,0.9441075533629,0.97713708766238,0.947046272239106,40.0692111111111,37.2906069444444,38.7370833333333,34.4392325,10.5935026666333,3.87346153223536,5.45582523950906,5.63928256601188,14.015325,14.870025,17.469725,16.654175,44.30285,44.5802,54.838125,31.9626,18,72,42,40
"ZNF135",0.950185491736981,0.871780010434484,0.98167677651644,0.729738922942984,0.866934337528988,0.984250448736073,45.9513888888889,36.9402986111111,32.2685976190476,27.223325,25.5179784856144,8.93019972658681,5.27777081809481,4.32968155444419,4.546425,9.5299,8.940925,9.78875,23.3388,31.951875,40.66935,36.0022,18,72,42,40
"ZNF620",0.0183200321185027,4.74478504082221e-05,0.041523901570779,0.00026322794186151,0.166557047718369,0.960410876125046,19.8375888888889,55.7463388888889,79.5773833333333,74.556485,4.68116350883659,5.04226581286899,9.04982339596739,7.08604275740984,8.226075,25.39975,32.704075,46.573,19.703175,78.598825,105.1702,100.162425,18,72,42,40
"ZNF619",0.0640655057696268,0.0144605611425117,0.73673484080567,5.77334496816295e-05,0.00813142028360825,0.198992122042349,47.5402611111111,72.3476597222222,79.830530952381,96.33897,5.27870080070299,4.33364051758383,6.67070091531332,6.08110807976407,28.205625,48.69195,51.823375,68.956325,62.247825,82.30805,107.01775,112.92405,18,72,42,40
"ZNF354C",0.260274134229332,0.814116475605412,0.620335016084286,0.685565908670078,0.825615540017857,0.990806106137357,21.9430388888889,47.2705069444444,34.9540904761905,38.3962375,5.04292338526794,5.52028958980614,7.02324375615925,11.6567317613179,6.802425,10.68305,7.06605,7.94125,31.74785,66.756175,38.2293,37.0223,18,72,42,40
"ZNF114",0.647114945372729,0.99781730129567,0.550675699432839,0.212030577587402,0.60117071220946,0.10931953275534,79.3935722222222,51.0048652777778,74.6435047619048,28.439715,18.3708403729823,8.47121638968439,22.2028670892064,8.29347803279438,27.850825,4.81845,3.9909,2.0043,103.5836,77.803125,77.052975,31.911025,18,72,42,40
"ZNF454",0.143921788792398,0.0920189818443182,0.960176413778168,0.790622595298544,0.421987869020713,0.276801124859913,4.04775555555556,9.5929875,10.5362071428571,6.630385,0.778394929973204,1.29619022616507,1.77141752508908,1.138631215773,1.873325,2.19985,2.871375,1.780025,5.9378,12.488175,13.378025,7.294675,18,72,42,40
"ZNF543",0.134179537125294,0.419325688255846,0.886171520221804,0.0041223241546694,0.178986728249389,0.0707271554437779,152.683783333333,201.415130555556,189.419171428571,235.537,17.6289411894493,9.19084469170132,10.8486783765332,17.6094850161752,92.708025,152.429375,131.86035,158.5422,187.65325,244.336375,249.6467,273.766175,18,72,42,40
