"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","count-FEMALE","count-MALE"
"ZNF547",0.919199400443056,44.4073384615385,45.0540955696203,6.26661181029228,2.36874655124392,22.226925,25.440475,49.809325,59.4873,26,158
"ZNF773",0.663182495472416,75.4614846153846,71.0966398734177,9.09795829533992,3.77229908995161,47.623275,37.729525,91.595975,97.965,26,158
"ZNF776",0.849425714420312,406.177661538462,399.246450632911,40.8351128635775,13.1915812620863,293.272425,262.605125,439.55135,489.70615,26,158
"ZNF256",0.526828589371563,81.8479346153846,72.0600424050633,14.7149329174716,5.77569385791091,13.7021,17.281325,114.5436,102.1742,26,158
"ZNF599",0.36490641257504,79.9362884615385,71.2227683544304,12.3980618971122,3.32359332892725,46.344625,40.314375,91.002825,92.57855,26,158
"ZNF18",0.763412242089332,174.117284615385,178.841060126582,11.7877610840758,6.04821713696131,140.728575,127.161225,209.098175,214.936425,26,158
"ZKSCAN2",0.937932282029569,161.244338461538,159.84360443038,17.4919199925434,6.69630296648894,108.630525,99.538925,203.81035,182.138875,26,158
"ZNF689",0.680643831018546,183.02295,190.932324050633,14.1812889934961,7.41805192202745,136.968925,133.463,223.8081,221.79645,26,158
"ZNF19",0.528260023047314,43.4000153846154,46.4491246835443,3.43193404825322,1.87232777813799,31.00345,28.503525,58.898125,59.871425,26,158
"ZNF230",0.657757963719937,79.4509923076923,75.7900202531646,6.57111731161785,3.16516432597473,58.768475,48.2746,83.416875,89.6003,26,158
"ZNF222",0.769991309705028,30.0793769230769,28.996364556962,2.59746220724003,1.4366338193381,21.395425,17.7694,34.784675,36.026125,26,158
"ZNF221",0.467473140516963,35.8043769230769,31.1599974683544,6.2755828386222,2.37330865417295,14.50655,10.91225,48.05425,39.759575,26,158
"ZNF233",0.444667507310696,25.3111346153846,30.5277044303797,2.5244093139154,2.72579111917424,16.751175,12.02895,32.988925,34.698875,26,158
"ZNF235",0.626377687416723,79.9490384615385,85.0159056962025,5.35540216820958,4.11486861255223,59.3339,53.207275,99.74225,106.7494,26,158
"ZNF208",0.275069739472485,14.4269038461538,40.7011867088608,4.02262801048301,9.69167152513775,3.8879,3.259575,14.94685,23.4001,26,158
"ZNF714",0.936637103153582,352.216423076923,348.273003164557,43.1687256534697,18.7913684371105,170.542925,165.927875,437.9395,477.9638,26,158
"ZNF394",0.343035335959819,471.071861538462,558.33367278481,28.6613244398773,36.8592966699787,368.887775,363.22755,514.608675,596.304275,26,158
"ZNF333",0.273020806842671,184.258203846154,166.539107594937,13.8739558790934,6.12386338984653,136.937,113.891925,218.4092,209.258825,26,158
"ZNF382",0.962237847815668,25.8628615384615,26.2070132911392,5.87991190410478,2.77944439984046,8.5961,7.583775,27.454275,27.809075,26,158
"ZNF577",0.297225705942561,108.539896153846,88.7482392405063,19.893219195574,6.95287840258469,50.8488,32.62885,142.408425,117.3281,26,158
"ZNF75A",0.111707199496601,189.612107692308,234.621470253165,24.2136048838765,10.7021723956755,124.9145,141.82685,210.957175,294.328475,26,158
"ZNF496",0.957205313327901,454.298311538462,457.035557594937,40.7645339176866,19.5322463600631,274.745675,301.6108,632.77425,531.027575,26,158
"ZNF2",0.994305067510132,109.056753846154,109.11205,6.38375663975671,2.95576025381364,88.04565,83.353025,127.23875,126.35875,26,158
"ZNF589",0.839280697107399,282.053953846154,275.379986075949,49.0521708301212,10.6688166643148,158.1831,180.024325,314.03875,337.548725,26,158
"PRDM9",0.371892341492538,3.04724615384615,1.5672664556962,2.2836397179552,0.557778673066261,0,0,0.94725,0.368525,26,158
"ZNF12",0.491824722878927,965.048838461538,1019.52208670886,79.5552393724933,29.302566838128,669.097675,754.230925,1188.1447,1259.46955,26,158
"ZNF202",0.22568005068814,290.802146153846,266.115812025316,18.0955909794056,7.67891121841571,226.509575,200.499575,339.8027,310.061025,26,158
"ZNF3",0.671256163276636,745.930438461538,783.19160886076,58.6365436409129,34.1810009923312,541.270525,518.0006,954.179975,891.0069,26,158
"ZNF606",0.650159619446546,170.425769230769,184.699187974684,31.4911756897275,11.6496813253869,31.057425,83.651175,241.12845,268.27695,26,158
"ZNF91",0.879079158097206,451.887861538462,463.48794556962,63.3657718176486,29.0591169121682,233.8568,174.3683,614.029025,666.0145,26,158
"ZNF226",0.889946360081434,208.5299,211.763482278481,17.0906232210396,9.0304945500243,165.0674,135.896075,231.5482,258.527725,26,158
"ZNF229",0.64975991277833,57.1259192307692,71.3041348101266,20.6949419843579,12.162989333454,6.058175,6.331575,36.07245,55.4193,26,158
"ZNF180",0.33765907609107,177.312384615385,194.778286708861,12.022863019849,7.09103126056074,133.0161,140.524025,204.02925,218.309425,26,158
"ZNF641",0.58492108194767,192.325746153846,183.505569620253,21.2396140540281,5.54437348935786,133.58005,139.482,219.774625,217.3651,26,158
"ZNF610",0.100266989851173,23.8520730769231,15.8453405063291,6.6030488693879,1.64485946023166,3.430975,4.207875,21.232525,19.55575,26,158
"ZNF528",0.029671671381443,189.951596153846,110.757585443038,50.3262468086576,12.1452295598503,37.96145,26.684825,271.284925,125.9994,26,158
"ZNF701",0.968543246859227,103.585761538462,104.33102721519,15.4660403505836,7.21624993135464,50.047275,34.545425,154.92975,147.74415,26,158
"ZNF283",0.515128804880313,81.3402615384615,75.9979803797468,7.76162603911771,3.06818350499202,62.412575,50.341675,89.356775,92.647075,26,158
"ZNF558",0.59323974513767,415.302769230769,393.458519620253,38.544655234036,15.2989900248184,324.21535,274.49365,498.94625,499.18335,26,158
"ZNF597",0.767407340623991,63.3158346153846,60.800246835443,6.85418448199109,3.25318741626727,41.1814,29.3212,87.328975,87.29555,26,158
"ZNF30",0.317609824472984,71.1876423076923,85.3579841772152,7.242701493538,5.60155377031677,48.9881,47.95815,81.6753,103.150675,26,158
"ZNF354A",0.944942460912869,271.270384615385,273.85752721519,28.6580591942901,14.413124173472,174.59165,166.163975,325.397875,325.3981,26,158
"ZNF764",0.909018901152244,197.3507,199.882026582278,15.922270304791,8.57362335950215,132.949375,141.540475,231.742175,224.567975,26,158
"ZNF747",0.511795685697564,198.675042307692,210.378017088608,12.7435591561181,6.90405239461316,156.707025,152.37265,226.058525,263.01475,26,158
"ZNF778",0.617973504423127,108.174015384615,103.062891772152,8.31697329481324,3.9157221762981,87.044675,69.4759,134.561775,122.6444,26,158
"ZNF212",0.284657448812317,249.769234615385,276.50885443038,17.5969226286241,9.67465924448982,199.785925,193.015,291.04225,338.311525,26,158
"ZNF282",0.401111448567885,911.380661538461,980.1888,59.2791445951049,31.6678239559999,712.987,734.827675,1060.0703,1202.53745,26,158
"ZNF160",0.85964544182765,477.061419230769,464.395891139241,56.5783509139007,27.4615817823018,280.754425,250.247025,622.2354,588.54825,26,158
"ZNF415",0.588901019333635,39.0087307692308,49.831832278481,12.6120302126133,7.82925408785386,8.56525,9.7175,35.9906,51.8013,26,158
"ZNF439",0.901529289177237,49.8006653846154,48.3945594936709,8.96011501913116,4.35803683911141,15.90175,13.75505,78.6481,60.7794,26,158
"ZNF440",0.546159591080377,471.776903846154,444.989862658228,47.8696071387429,16.1690390399302,265.00755,310.59165,602.1646,546.6402,26,158
"ZNF562",0.253987828654891,755.296319230769,687.695992405063,68.5792760333414,21.1754112558075,560.932225,508.0373,826.9987,812.7967,26,158
"ZNF561",0.284839994961831,619.434284615385,569.560217088608,39.7648867670491,17.6828188328568,470.144425,462.7615,721.9365,634.58405,26,158
"ZNF584",0.37489244546187,184.931376923077,207.07350443038,12.6272943141146,9.86493251963486,149.67135,142.712225,225.71175,230.715225,26,158
"ZNF274",0.389967356116237,331.386638461538,369.63837721519,45.7788830054198,16.366043959684,198.62845,249.2335,394.283825,428.000875,26,158
"ZIK1",0.957574039276373,26.06145,25.579117721519,10.1559749708287,3.27503921471341,7.02895,7.61255,19.5488,25.08645,26,158
"ZNF540",0.973222264847345,22.2347423076923,22.4199164556962,4.04151243967736,2.13148253325004,8.6536,6.84785,26.7802,27.854025,26,158
"ZNF570",0.59560994498769,38.4121192307692,34.4901075949367,7.04618359930017,2.75919092156064,9.703925,9.76565,69.636425,48.9769,26,158
