"gene","p-adj-YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES","count-NO","count-YES"
"ZNF829",0.518760051200377,11.7580876712329,9.61092903225806,1.70356793076461,3.13704435587287,2.1028,1.57875,12.7938,8.6349,73,31
"ZNF267",0.814404610697436,507.186436986301,518.821264516129,27.07556194643,41.099547124448,330.1329,376.27065,640.5277,607.87375,73,31
"ZNF566",0.00148631460573601,153.239842465753,218.372374193548,10.5912305673545,17.754335752925,87.7386,153.2494,202.032,267.9906,73,31
"ZNF224",0.0220293228493265,179.248310958904,230.174558064516,12.4025422102333,16.5902419570382,107.8506,154.29655,250.9385,292.2766,73,31
"ZNF529",0.147771302780762,319.004021917808,388.089035483871,22.2989787145752,50.4402167589344,190.9158,231.7077,398.8945,460.81835,73,31
"ZNF284",0.0717722066378946,41.6423767123288,52.5470935483871,2.90642511225279,6.16307560359193,24.6453,32.30665,53.1163,65.68975,73,31
"ZNF749",0.385302190030576,126.290576712329,137.4226,7.54494588245536,8.20313275513088,84.9546,104.49855,144.8735,165.1495,73,31
"ZNF17",0.292689076972962,145.610542465753,157.170267741935,6.19251140409292,8.26655339481456,112.1185,131.9237,180.1837,181.4059,73,31
"ZNF555",0.819316562822069,72.4574068493151,70.8781741935484,4.19822586992846,3.72481298836604,49.6099,53.73225,88.1975,86.6981,73,31
"ZNF75D",0.082127341633906,311.838621917808,367.599996774194,17.1415775911342,27.3214870420269,187.4522,266.87635,394.5641,437.59355,73,31
"ZNF197",0.000529195646484903,300.602583561644,378.451309677419,11.3484360290105,20.0277164168717,239.0451,302.4082,346.3874,450.8312,73,31
"ZNF732",0.945116014907443,9.88099863013699,9.62294516129032,2.18667324947717,2.51917709174374,0.8769,1.7074,8.5013,9.3192,73,31
"ZNF546",0.191274512737818,61.1880821917808,74.1594612903226,4.99581868600468,9.5376201524152,29.0334,35.02215,84.9126,99.9782,73,31
"ZNF286A",0.304244674382972,341.660897260274,299.11595483871,24.8131436954936,23.9142521437362,209.3632,199.78635,404.6154,389.66505,73,31
"ZKSCAN4",0.367746278580896,84.0543068493151,91.7427193548387,4.77169654155992,6.60826623034244,60.5409,63.29905,99.4326,113.42715,73,31
"ZNF643",0.843799521615365,69.0986315068493,64.9004903225807,13.529944549549,6.58208679104153,28.6466,44.99655,78.4074,73.37295,73,31
"ZNF642",0.501276005986713,105.739935616438,91.7858612903226,13.0803949147867,7.29992494211034,65.9767,68.29755,109.6095,104.9572,73,31
"ZNF490",0.736701051370499,230.437261643836,236.504925806452,10.4260278191995,12.5960219090884,160.8331,177.65665,285.5796,280.1395,73,31
"ZNF626",0.917315370469648,52.2758315068493,54.2051612903226,9.29870388305431,18.2069390162585,11.4161,13.1293,55.5815,56.2848,73,31
"ZNF793",0.0352424237541,67.7304863013699,30.5381806451613,10.4275287583833,10.507871033574,8.7442,7.6449,84.5329,31.3064,73,31
"ZNF383",0.421199379089097,93.1485136986301,100.87265483871,4.994547859421,8.79364140221497,64.5861,62.9698,113.5029,131.5109,73,31
"ZNF669",0.669345301127315,134.796698630137,140.491867741935,7.25677699581987,11.1526316317511,91.097,96.47035,164.271,182.2597,73,31
"ZNF559",0.00634528501241682,165.412438356164,99.5360741935484,13.7902846846252,16.0805863648359,71.89,31.9998,244.528,128.51005,73,31
"ZNF177",0.56194354848181,30.791,26.3311064516129,4.13941560305158,6.58563030773434,8.8063,4.6955,43.8908,30.3881,73,31
"ZNF548",0.396729170957412,243.0079,264.8186,14.4428131785313,19.7110835873764,163.3466,206.99535,280.3057,320.96765,73,31
"ZNF563",0.384712018080388,33.6116465753425,37.3992483870968,2.36644921887739,3.64323757316983,20.303,24.89095,42.5283,45.38155,73,31
"ZNF567",0.0857161915582935,161.033887671233,193.368790322581,9.50855173004377,17.8241718009871,95.7164,128.0958,214.3139,226.1041,73,31
"ZNF573",0.0157737150636957,43.4865698630137,60.5657193548387,3.36232833164602,7.18304809829038,22.3935,31.10325,54.0574,85.13195,73,31
"ZNF527",0.00213552030922426,76.8050643835616,106.443009677419,4.61672407355526,9.52205393374945,46.0719,70.0805,98.5032,127.03935,73,31
"ZNF33A",0.0006574130776279,1021.75326027397,1384.94902580645,53.9247442168228,95.1084583900103,663.2467,927.29625,1279.7758,1689.6454,73,31
"ZKSCAN3",0.784926927879806,69.3666109589041,72.1384548387097,5.91028459319348,6.89100442378781,42.8762,42.8153,79.6163,104.8335,73,31
"ZNF676",0.857151353524399,3.51170273972603,3.8125,0.78000447438998,1.78670482330865,0.249,0.11485,2.594,2.7511,73,31
"ZNF699",0.00144814837939355,57.3156342465753,31.543364516129,4.73298347259704,4.61228285136558,31.344,15.988,79.1361,38.49975,73,31
"ZNF250",0.42470250815663,228.43878630137,200.302719354839,21.8893597841088,15.2636484797461,149.9184,150.71705,243.3355,221.11865,73,31
"ZNF79",0.0605488148908192,114.570521917808,100.822222580645,4.02238860848528,5.81416413376685,89.9083,74.6911,130.2692,124.1277,73,31
"ZNF681",0.714336758139107,81.6215712328767,90.8514129032258,12.6577742609935,24.5663070183283,11.3489,11.96575,104.758,91.8586,73,31
"ZNF766",0.0321499808993708,345.265005479452,407.217367741936,15.9076286822768,22.6040517657574,239.3273,313.8679,423.8586,505.1755,73,31
"ZNF471",0.185110125315621,36.6390835616438,21.9267419354839,6.96427156054244,4.01083062358826,7.3699,5.63655,32.3054,32.037,73,31
"ZNF836",0.0539784877140672,106.353175342466,127.796122580645,5.9984515552937,9.23950630432087,66.3549,85.5623,143.214,158.80235,73,31
"ZNF493",0.000930009753556282,128.415069863014,243.44695483871,13.6638152852449,40.7393038759861,30.883,120.98565,181.2904,285.8973,73,31
"ZNF167",0.551297418231708,29.4792109589041,25.2168032258065,3.80983394858038,6.2687126871017,8.317,5.88325,38.2077,25.4654,73,31
"ZNF565",0.0272667002549913,72.3923452054795,87.3995161290323,3.67920692335135,5.53401023444557,52.8705,63.20115,88.0084,101.38795,73,31
