"gene","p-adj-Esophagus Squamous Cell Carcinoma-Esophagus Adenocarcinoma, NOS","mean-Esophagus Adenocarcinoma, NOS","mean-Esophagus Squamous Cell Carcinoma","SEM-Esophagus Adenocarcinoma, NOS","SEM-Esophagus Squamous Cell Carcinoma","Q1-Esophagus Adenocarcinoma, NOS","Q1-Esophagus Squamous Cell Carcinoma","Q3-Esophagus Adenocarcinoma, NOS","Q3-Esophagus Squamous Cell Carcinoma","count-Esophagus Adenocarcinoma, NOS","count-Esophagus Squamous Cell Carcinoma"
"ZNF333",0.0226568614144153,155.711838636364,181.263026041667,6.29773914396255,8.93918098210191,114.196425,119.28895,201.6057,223.456525,88,96
"ZNF382",0.166819145251226,22.5118056818182,29.5010791666667,2.69999940119162,4.13657115772668,8.96865,7.26365,27.738025,27.70305,88,96
"ZNF577",0.501658976176543,96.1901636363636,87.286715625,10.4285467296112,8.30409069158289,30.21145,34.202375,141.4289,109.7421,88,96
"ZNF75A",3.0293005059967e-06,181.439680681818,271.181408333333,12.7206316674305,13.4869157506141,95.154875,174.7011,223.17065,337.299675,88,96
"ZNF496",0.00320352496075937,402.595178409091,506.197901041667,18.0530111481574,28.7838692538076,294.980825,301.120225,469.672675,659.641025,88,96
"ZNF2",0.812995017086584,109.770965909091,108.493067708333,3.19997627788478,4.25007640003634,86.71745,81.065625,125.58085,126.537875,88,96
"ZNF589",0.608528645689978,270.192989772727,281.942265625,13.4864355005172,18.1055548492452,178.450725,176.519875,318.71765,341.709725,88,96
"PRDM9",0.516560814498791,1.38504204545455,2.13513333333333,0.79420215443224,0.831224492303091,0,0,0.3144,0.7724,88,96
"ZNF12",0.276999047982901,1043.13592727273,983.122894791667,40.4040941144394,37.486617922813,758.189175,706.172325,1268.5367,1176.1657,88,96
"ZNF202",0.0423247426761982,284.600295454545,255.857584375,9.97757456196305,9.87337812566424,224.5277,187.921925,334.58305,295.193175,88,96
"ZNF3",0.00961692190149666,859.893415909091,702.790052083333,50.0388594242656,34.6422113249013,607.70755,487.94615,958.03565,824.868675,88,96
"ZNF606",0.0525310518404113,160.591856818182,202.931857291667,17.0763805508873,13.6564995895104,31.40055,106.778475,208.7033,271.37485,88,96
"ZNF91",8.37108160567368e-14,655.686551136364,284.164201041667,38.499966324411,25.3797342502983,434.840125,97.3508,853.1041,394.3023,88,96
"ZNF226",1.89303284159337e-09,259.940764772727,166.725211458333,12.7095255903245,7.95672605412876,183.9405,112.0436,276.6609,197.556125,88,96
"ZNF229",0.66616469241147,64.3997920454545,73.7931822916667,17.7647696074762,12.9626766692648,5.8029,6.56435,33.0206,71.72635,88,96
