"gene","p-adj-stage I-N","p-adj-stage II-N","p-adj-stage II-stage I","p-adj-stage III-N","p-adj-stage III-stage I","p-adj-stage III-stage II","p-adj-stage IV-N","p-adj-stage IV-stage I","p-adj-stage IV-stage II","p-adj-stage IV-stage III","mean-N","mean-stage I","mean-stage II","mean-stage III","mean-stage IV","SEM-N","SEM-stage I","SEM-stage II","SEM-stage III","SEM-stage IV","Q1-N","Q1-stage I","Q1-stage II","Q1-stage III","Q1-stage IV","Q3-N","Q3-stage I","Q3-stage II","Q3-stage III","Q3-stage IV","count-N","count-stage I","count-stage II","count-stage III","count-stage IV"
"ZNF79",0.790507788977671,0.999278852269549,0.746211367866102,0.996497493505826,0.840065572394884,0.999665303764524,0.923250795794044,0.999986204106593,0.936880886392588,0.963619381275206,113.986938888889,102.056968421053,111.985369230769,110.875356363636,103.2022,7.61481543472401,5.20868138256611,4.02837602044657,3.97512295338611,10.460058160397,82.3461,79.90765,85.744125,90.6992,76.5471,141.10055,118.1999,130.814325,123.8708,123.1314,18,19,78,55,9
"ZNF681",0.749772178785062,0.991247084907663,0.265860894022708,0.99403540670185,0.318652883263606,0.999999367296019,0.843692715197918,0.264850201537977,0.913796553779102,0.913077839952381,83.7815333333333,38.4157736842105,97.3629371794872,96.5397618181818,131.7497,24.7517694517783,12.0585246595276,13.8857546087434,16.3260705555564,37.4638483555814,18.015475,8.2782,11.05945,16.63435,62.556,114.54795,44.3375,137.645125,109.02555,238.0547,18,19,78,55,9
"ZNF766",0.0222872909446047,0.0755672503549109,0.714824949323976,0.166472724434699,0.584856613689081,0.995329508984899,0.275933821392721,0.990009116481557,0.995628657784451,0.980769708051916,436.347227777778,313.358905263158,353.002214102564,361.315938181818,336.662388888889,34.586081757272,17.9512839227563,13.9723834421531,16.9074584072945,41.8069518357708,351.386025,250.9084,271.4595,262.36085,261.9532,496.239425,370.23295,435.603525,427.7841,320.8352,18,19,78,55,9
"ZNF471",0.99968191103642,0.491339238756843,0.629122636622539,0.515829160243904,0.649627696773485,0.999999726027629,0.999836277018632,0.997624287193468,0.636141269737414,0.644367260942924,20.66645,24.6288263157895,46.8674641025641,47.2292618181818,16.5061,4.53900750047439,9.13875146427455,8.7798745807898,7.6211625352857,4.37529535856978,8.024475,4.86235,9.20335,11.6567,9.7744,32.64415,22.4567,47.45545,65.84125,17.5076,18,19,78,55,9
"ZNF836",0.873794009244565,0.418534114744876,0.983323952948942,0.836887326632596,0.999948255840412,0.86985564862254,0.999999999320039,0.934556718755418,0.695673189208693,0.932360521763523,125.808466666667,109.712463157895,102.683257692308,111.383294545455,125.962522222222,12.6717523188209,13.3746267504442,5.05657248525979,7.5809029657167,16.7899607340863,82.7321,76.3047,75.262525,69.84745,95.5623,152.021,120.9587,126.68355,144.7103,155.4389,18,19,78,55,9
"ZNF493",0.91949633624236,0.811081539101374,0.999999297292378,0.945396719888899,0.998806834457161,0.989898524118718,0.983379414162264,0.999920496660655,0.99972063715568,0.999998919391168,181.014377777778,139.786721052632,138.178676923077,150.615494545455,148.098577777778,30.4527014451583,22.4195539571726,15.5181095971291,25.5424450411022,34.2203396230905,82.129075,63.31685,30.712825,44.57895,86.671,226.9284,168.5233,192.499075,178.73495,214.851,18,19,78,55,9
"ZNF167",0.594983413786828,0.999997886679431,0.309010168169703,0.988504673801099,0.692758320757662,0.92021379396661,0.605009482273102,0.998840541614282,0.432476993282379,0.713934313527581,32.0052277777778,17.5606157894737,32.441208974359,28.0080763636364,14.2683,10.0924140473391,3.75677732182071,3.95430303748735,3.11618163600782,2.41597886528421,7.952125,5.07035,11.80825,10.02595,6.9827,33.693875,24.8125,39.127125,41.6981,19.8746,18,19,78,55,9
"ZNF565",0.669834998225643,0.30688140979757,0.999081634833044,0.361207813827261,0.999523330741214,0.999999153433692,0.619513422422028,0.997051844823258,0.999577697883012,0.999422911275444,94.6525666666667,79.3539052631579,77.0938641025641,77.3628872727273,74.5392888888889,8.0948225886569,5.55504181265799,4.45113974306442,4.12040921331838,12.4821809943375,71.116225,61.3277,51.333425,53.7789,45.228,111.81825,91.6649,95.95415,98.20805,89.8339,18,19,78,55,9
"ZNF34",0.983056250108079,0.0689765919629935,0.272046062020281,0.029342648533211,0.136329116809412,0.968128425407136,0.999720768755637,0.970391234049532,0.195010588255342,0.109440513715714,71.1337555555556,77.2642052631579,94.9043179487179,98.8011745454545,68.4884777777778,4.85560941978095,7.96258325215587,4.34255938769142,4.29399436128675,12.1419375667077,57.18455,54.38565,67.32365,80.6288,51.307,84.3361,85.0438,112.940225,118.5114,75.0556,18,19,78,55,9
"ZNF140",0.740690072040456,0.950926087966995,0.921842258966898,0.999848926477786,0.665380106451932,0.922281558135373,0.820468661432776,0.999983970493987,0.954791887877651,0.808327514073246,330.810716666667,273.551815789474,303.795065384615,324.574816363636,268.259255555556,24.5934220424976,20.4360250431579,18.3198431020414,19.3224745120696,37.162628836773,262.3889,221.7721,204.285375,245.4227,199.3972,424.221625,316.92885,362.4886,384.5983,321.4708,18,19,78,55,9
"ZNF658",0.999398033532675,0.597457187339171,0.392647522405767,0.932735673050033,0.811790692000763,0.885060398008015,0.983185126587508,0.996450329572733,0.436495947618045,0.745958050644277,56.2735388888889,52.2351421052632,76.6839679487179,67.8613854545455,44.4226777777778,8.28335991354531,8.85018235812821,6.85306941526893,7.58223301309525,8.24185304173794,39.688525,28.56235,42.40685,30.45875,28.2067,57.7568,66.2855,95.94835,81.68155,49.9374,18,19,78,55,9
