"tumor.median","tumor.mean","Gene.Id","healthy.median","healthy.mean","log2median","log2mean","tumor.name"
38.1072,67.8171815315315,"ZNF470",160.5438,176.2826375,-2.07483143871126,-1.37816765455338,"STES"
194.55,222.431787387387,"ZNF100",236.4227,232.675525,-0.281227581453325,-0.0649564863494708,"STES"
629.9124,643.587135585586,"ZNF398",592.8979,622.248625,0.0873675245352317,0.0486443516295103,"STES"
369.7822,425.790723423423,"ZNF498",300,315.31405,0.301713279483935,0.433355062420867,"STES"
111.6164,128.852008108108,"ZNF441",214.142,205.52060625,-0.940018760934488,-0.673568029846576,"STES"
73.6057,82.1510144144144,"ZNF420",128.1303,130.18608125,-0.799722284168771,-0.664224917022817,"STES"
27.4901,33.6460518018018,"ZNF763",46.4201,51.015375,-0.755837475682486,-0.600494890038963,"STES"
16.5686,38.2209653153153,"ZNF682",73.9609,70.87848125,-2.15831107637121,-0.890983475117638,"STES"
152.0602,183.901265315315,"ZNF772",144.8013,146.81538125,0.0705680389817529,0.324928284723967,"STES"
5.3836,29.4194337837838,"ZNF257",35.4523,32.0779875,-2.7192360994476,-0.124814152954428,"STES"
225.8718,246.499628828829,"ZNF785",250.4505,256.96096875,-0.14902132969863,-0.0599637627372774,"STES"
1.0267,7.85352657657658,"ZNF98",2.1775,2.20514375,-1.08465802863742,1.8324679266442,"STES"
200.6679,219.977544144144,"ZNF786",173.913,161.68321875,0.206444075142571,0.444186309425301,"STES"
184.6004,217.889947747748,"ZNF517",210.7843,216.108275,-0.191361734594965,0.0118453244408942,"STES"
130.3364,149.343506756757,"ZNF675",178.8205,168.97839375,-0.456272084528116,-0.178204276885659,"STES"
63.8614,81.6733414414414,"ZNF860",24.7022,44.5960625,1.3703046454608,0.872948916287348,"STES"
57.24,76.0590207207207,"ZNF695",6.5324,9.55911875,3.13133863245959,2.99216983585017,"STES"
7.6326,15.3963945945946,"ZNF665",28.1008,35.13780625,-1.88036471161053,-1.19043157113019,"STES"
107.1572,116.262535585586,"ZNF624",80.4264,87.22375625,0.413987739882948,0.414593252106853,"STES"
316.5105,384.337215765766,"ZNF841",304.5045,324.9823375,0.0557898121900681,0.242011369717453,"STES"
174.3086,210.711183333333,"ZNF615",288.2883,326.14428125,-0.725868536551328,-0.630243445813382,"STES"
49.1408,57.928295045045,"ZNF433",93.2216,97.01381875,-0.923742930039818,-0.743922056929628,"STES"
116.1772,153.811731081081,"ZNF595",230.8111,228.237475,-0.990385641863443,-0.569370150992672,"STES"
399.8599,442.806566666667,"ZNF460",426.4079,415.18640625,-0.0927395594056335,0.0929174082089925,"STES"
192.7415,213.486976126126,"ZNF81",133.8631,153.7134375,0.525908908228024,0.473904770503366,"STES"
258.9323,276.052516666667,"ZNF780A",266.5441,266.3335625,-0.041799305519251,0.0517085098969824,"STES"
59.2564,71.8193810810811,"ZNF461",107.2401,101.0299625,-0.855801583606709,-0.492338091697067,"STES"
156.0425,180.483204054054,"ZNF181",325.1834,292.20908125,-1.05931459495244,-0.69513643006895,"STES"
195.6061,215.621655855856,"ZNF44",235.4775,243.6804375,-0.267637854535389,-0.176488355391915,"STES"
41.6811,58.0621837837838,"ZNF790",116.2791,119.00410625,-1.48012655298156,-1.03534061527136,"STES"
6.5511,13.7943648648649,"ZNF677",35.1351,46.6349375,-2.4231039286199,-1.7573321518182,"STES"
155.2597,172.266327477477,"ZNF823",153.4559,162.72148125,0.0168592901016283,0.0822360114853466,"STES"
12.34,24.9618518018018,"ZNF311",18.9951,23.93154375,-0.622284912626125,0.0608115012153611,"STES"
52.0231,85.0767144144144,"ZNF347",194.8535,185.88385,-1.90516557014992,-1.12756520725387,"STES"
158.7202,192.158005855856,"ZNF273",108.8732,110.78594375,0.543836881796021,0.794518237107971,"STES"
490.3786,562.143818918919,"ZNF84",694.944,607.51645,-0.503000705671197,-0.111984196876575,"STES"
9.7264,21.7102463963964,"ZNF667",30.0674,44.78601875,-1.62822229100448,-1.04467232397443,"STES"
123.5446,145.162782432432,"ZNF649",216.8279,255.21116875,-0.811518451809769,-0.814019851530124,"STES"
252.4168,279.494071171171,"ZNF248",344.1441,396.61290625,-0.447204842257928,-0.504913945412036,"STES"
543.2856,587.084732432432,"ZNF544",392.3105,423.19075,0.469714859348706,0.472260645113798,"STES"
254.1356,286.260113963964,"ZNF251",226.5193,230.68010625,0.165964509493817,0.311433074506938,"STES"
140.4368,164.24472027027,"ZNF607",168.312,167.067175,-0.261217010573428,-0.0245813084864622,"STES"
15.2687,61.8421851351351,"ZNF334",72.276,95.23839375,-2.24293943060896,-0.622951992507677,"STES"
61.7111,73.8155130630631,"ZNF485",39.6101,48.8744125,0.639661667356476,0.594844684381719,"STES"
532.4622,566.29379009009,"ZNF192",663.5378,703.50255625,-0.317499543796236,-0.313004956163288,"STES"
13.0134,16.0395018018018,"ZNF442",20.2206,23.0370875,-0.63582786353119,-0.522329001953788,"STES"
43.3953,78.9412058558559,"ZNF813",68.4685,72.72788125,-0.657901608730119,0.118270009595438,"STES"
240.2321,263.145703603604,"ZNF26",190.6077,190.98795,0.333822536823525,0.462380222855826,"STES"
26.5085,42.8285054054054,"ZNF69",62.9469,66.87441875,-1.24768029333667,-0.642883114933673,"STES"
18.543,29.5898797297297,"ZNF583",66.6775,79.49141875,-1.84632534218655,-1.42569529452395,"STES"
27.2628,44.243068018018,"ZNF568",111.4341,117.41169375,-2.03118513452083,-1.40805276517274,"STES"
452.0399,485.09414009009,"ZNF480",446.2324,437.73783125,0.0186548515164537,0.14819767847684,"STES"
1222.8668,1416.15222117117,"ZNF587",1105.9025,1279.5068125,0.145043069328153,0.14638851923177,"STES"
278.0547,300.551492792793,"ZNF808",327.0171,343.6537625,-0.233997353998616,-0.193343569104814,"STES"
85.6628,178.19023963964,"ZNF43",349.0639,330.79125625,-2.02675042238792,-0.892502785012006,"STES"
383.4034,447.275018018018,"ZNF28",307.1705,304.058025,0.319823461446462,0.556815513618653,"STES"
260.0008,272.278706306306,"ZNF627",303.2659,291.2292875,-0.222067224421578,-0.0970712874921375,"STES"
94.5508,132.457564414414,"ZNF789",67.6976,73.8227875,0.481984976347454,0.843392116849214,"STES"
