"gene","p-adj-Lung Squamous Cell Carcinoma-Lung Adenocarcinoma","mean-Lung Adenocarcinoma","mean-Lung Squamous Cell Carcinoma","SEM-Lung Adenocarcinoma","SEM-Lung Squamous Cell Carcinoma","Q1-Lung Adenocarcinoma","Q1-Lung Squamous Cell Carcinoma","Q3-Lung Adenocarcinoma","Q3-Lung Squamous Cell Carcinoma","count-Lung Adenocarcinoma","count-Lung Squamous Cell Carcinoma"
"ZNF331",1.97386951228395e-09,541.650821317829,428.095891,12.6347515064703,13.9911689357952,308.301175,227.112925,667.1926,522.506875,1032,1000
"ZNF227",5.14126519135516e-11,226.785321899225,282.1674282,2.58118944869124,3.89624877927215,172.62255,194.49575,264.1589,333.36115,1032,1000
"ZNF141",5.14126519135516e-11,77.1631300387597,54.5344466,1.19157850939343,1.1512331999873,54.13015,36.08575,91.130675,65.52345,1032,1000
"ZNF304",5.14133180473664e-11,256.01265251938,319.2448412,3.05357415983583,4.59494991726176,196.52625,217.327625,311.8175,390.2194,1032,1000
"ZNF132",5.14299713927358e-11,78.5565370155039,61.7340708,1.44674409682225,1.29844315597254,42.9829,33.001875,106.452825,79.942725,1032,1000
"ZNF20",2.45550219335477e-06,108.474158914729,99.7607862,1.26805155617252,1.34036830501995,82.168475,71.374975,128.375575,120.4031,1032,1000
"ZNF670",0.000173608483101884,82.6353474806202,90.5822804,1.48771062754808,1.49962835262715,51.967925,57.607575,99.237,111.3572,1032,1000
"ZFP37",5.14399633999574e-11,47.5057069767442,61.966592,1.15960582974841,1.38306157793816,19.8367,30.494625,60.73,83.07855,1032,1000
"ZNF189",0.00132413811660914,466.968062403101,437.258754,7.15380691420648,5.79752160700527,334.181175,308.3107,544.7906,528.413475,1032,1000
"ZNF434",0.656631114586831,344.164480232558,342.2179676,2.88264544868672,3.3057965182823,280.65855,265.492025,389.026475,398.525975,1032,1000
"ZNF287",1.64643143563126e-09,86.9797796511628,100.5243442,1.51635272236159,1.64394745276268,51.5479,66.972725,114.2329,125.243825,1032,1000
"ZIM3",0.00584106553602248,0.0135637596899225,0.1323548,0.00298600797746845,0.0436230976493587,0,0,0,0,1032,1000
"ZFP14",0.526107333103295,167.673312015504,170.3151096,2.38494513423037,3.44337459770785,113.179425,105.534725,204.721975,211.25645,1032,1000
"ZNF473",5.14126519135516e-11,228.566170348837,324.9946816,2.90217215042928,4.44915752725939,165.39835,218.263325,273.596775,397.394925,1032,1000
"ZNF614",0.0363823469430878,275.94623003876,257.2075712,7.19437359238033,5.24559464339775,162.727775,152.5368,302.944025,306.4991,1032,1000
"POGK",0.414821705651071,1902.72504244186,1877.0994526,20.0048850972871,24.3420405339096,1436.13225,1408.475125,2277.618125,2140.735525,1032,1000
"ZNF514",0.00309201267360015,260.081252906977,240.2089704,4.41625269594777,5.06762340053055,162.1707,139.340175,320.713475,300.109975,1032,1000
"ZNF300",0.337926112164721,106.204175193798,110.8405454,3.39007270307473,3.45059439967373,33.106475,39.3452,140.125775,141.574175,1032,1000
"RBAK",5.14126519135516e-11,490.961254457364,603.9377648,5.95169163542733,7.53583022613142,358.669425,444.138325,586.676725,724.44195,1032,1000
"ZNF92",5.14314146826678e-11,279.344879263566,223.6634686,4.32005296559646,3.25402650544126,184.127425,157.1829,330.73945,266.361975,1032,1000
"ZNF157",4.65294047735654e-09,2.47249147286822,3.7002072,0.131536485246477,0.162674745788231,0.34065,0.748625,2.8736,4.664025,1032,1000
"ZNF182",5.14324138833899e-11,206.675446899225,175.1410188,2.50674319387823,2.23448079993473,155.126825,130.235075,241.76245,210.07305,1032,1000
"ZNF673",0.00365065559183597,231.137934883721,246.2720468,3.60253841115803,3.75313029212947,171.22175,180.9904,267.884125,284.7083,1032,1000
"ZNF41",5.14344122848343e-11,240.113826356589,209.5797894,2.4247855178883,2.26471993340292,191.91215,161.7483,279.4549,246.119575,1032,1000
"ZNF7",5.73730405517558e-07,518.450578682171,563.3819334,6.64330481289333,5.98375941384209,368.63295,424.45785,630.360175,664.069525,1032,1000
"ZNF214",5.14126519135516e-11,40.2460170542636,21.680262,0.893171097332806,0.701878649926166,18.592,5.943575,55.0099,28.946275,1032,1000
"ZNF215",0.00118315720720907,43.3609375968992,49.3789188,1.20279874251107,1.41530616238781,15.252725,15.018825,56.715175,69.2229,1032,1000
"ZNF547",0.00372114801244783,39.9979618217054,37.4095048,0.631539294759838,0.628488214770526,25.24125,23.549075,49.20225,48.008975,1032,1000
"ZNF773",0.272683319697761,115.201053488372,118.110287,1.57424102273867,2.14850979403036,82.99745,76.0261,145.77395,148.875675,1032,1000
"ZNF776",0.224408424584152,351.152309496124,343.6568676,3.94716120603459,4.76084634321937,261.1904,239.870575,427.514675,422.900175,1032,1000
"ZNF256",5.14126519135516e-11,83.4312563953488,126.6685586,1.56392813246066,2.33977483379071,49.57625,76.654175,107.5367,168.26675,1032,1000
"ZNF599",0.0028781746009604,92.030575,98.9775506,1.4677853866134,1.81619636502253,61.059525,64.265175,112.762175,116.47355,1032,1000
"ZNF18",5.14126519135516e-11,163.000627131783,226.9365412,1.6353684847757,3.34162769585472,124.72145,158.865475,190.909125,271.584225,1032,1000
"ZKSCAN2",0.00235397238535462,188.394196124031,170.1640384,2.51455435680614,5.49980537092841,138.22425,100.6612,220.7742,197.25635,1032,1000
"ZNF689",1.13192894835024e-07,147.483286627907,166.349472,1.9929077185762,2.95506141968971,105.502425,115.4962,179.95825,198.195225,1032,1000
"ZNF19",5.14126519135516e-11,82.7019610465116,42.7792982,1.18014016139395,0.621274259350529,54.96185,29.987275,102.642675,53.502975,1032,1000
"ZNF230",0.673291535854159,97.55255,98.3019232,1.10526207262851,1.39925604002615,73.9526,68.952125,115.509375,119.996875,1032,1000
"ZNF222",0.0325160753491951,67.5316554263566,64.5257606,0.943073962556297,1.04397452173287,47.597475,42.91565,82.27565,79.685975,1032,1000
"ZNF221",0.15491624060854,13.7451281007752,13.1123468,0.312129887219134,0.316757288714883,7.0064,6.208625,17.660875,17.17695,1032,1000
"ZNF233",3.22524895679521e-10,28.8334187984496,22.8993726,0.743204837252442,0.560338286668237,11.446775,11.413275,40.2772,29.11195,1032,1000
"ZNF235",0.786590568851879,74.0753897286822,74.4883316,1.00936301051403,1.14676945144887,53.133225,50.5907,88.146425,89.2382,1032,1000
"ZNF208",5.28276311584364e-11,55.7477067829457,23.462481,4.06149377924327,1.89666117556569,6.9627,3.698625,34.133625,16.805725,1032,1000
"ZNF714",7.44913969730199e-06,230.344253294574,187.983322,7.86544331535637,5.08765425045669,108.735725,86.1971,280.132,241.498025,1032,1000
"ZNF394",3.81235300934701e-05,445.324974612403,479.4752354,4.46017364736194,7.03235613318628,360.64415,377.419225,499.0706,541.736675,1032,1000
"ZNF333",6.84091403524434e-08,159.27119748062,180.4014474,1.96692567718832,3.40455707155951,111.95065,121.114875,194.9482,216.35115,1032,1000
"ZNF382",5.14319697941801e-11,38.1033581395349,23.5070072,1.15225266686917,0.955862996151164,16.60965,7.660725,47.5602,27.7963,1032,1000
"ZNF577",5.14408515783771e-11,116.169060271318,79.3295768,4.13964562386955,2.09569226781408,55.55845,39.820975,129.75765,98.709825,1032,1000
"ZNF75A",2.81616349129266e-08,325.707701162791,290.1172628,4.77901150406354,4.21186156451989,218.016175,200.108,399.1488,356.24695,1032,1000
"ZNF496",5.14126519135516e-11,300.407108139535,381.0391266,4.31722979850919,5.37675129858687,216.35785,267.373375,349.798925,463.4773,1032,1000
