"gene","p-adj-NO-[Unknown]","p-adj-YES-[Unknown]","p-adj-YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES","count-[Unknown]","count-NO","count-YES"
"ZNF643",0.445912713899426,0.476295976753033,0.996553799407382,43.8917142857143,36.1830915492958,35.88376875,8.94951083146514,1.7702597459513,3.38494825055663,23.633475,20.19855,21.364025,54.21275,46.404725,41.6403,14,142,48
"ZNF642",0.927635701063999,0.981422285019725,0.956535547799377,91.8091,95.3632408450704,93.7341666666667,9.82169522936145,3.04485238496537,3.89028921904328,72.224475,71.5469,74.5478,106.033075,110.905625,116.435,14,142,48
"ZNF490",0.40437664552017,0.842529540822198,0.488409321028651,133.817607142857,152.003040140845,142.368279166667,14.162413057485,4.3881931834144,6.30527046605083,95.279675,113.9256,105.138775,167.9759,176.199,177.279875,14,142,48
"ZNF626",0.672407142498412,0.863265479871834,0.878069083598814,42.6308785714286,32.7489704225352,36.1162145833333,11.7784371509937,3.21811666589543,7.09757406398731,10.998525,8.883575,9.168975,68.63165,39.105225,35.98315,14,142,48
"ZNF793",0.134560622054518,0.139180795169338,0.968207225821675,81.2701357142857,49.8784387323944,47.5240354166667,16.2888061996427,4.86268943648744,8.42508099605167,26.939775,5.87485,6.594425,122.56045,85.3867,74.92475,14,142,48
"ZNF383",0.93240345251375,0.497548478975436,0.314714194131846,78.82525,74.9317598591549,65.4554729166667,6.92502396145138,3.68475896870309,3.33616752063537,56.2878,57.464475,53.487675,98.404675,86.687025,80.642275,14,142,48
"ZNF669",0.0858520444865016,0.106857570591933,0.991919399454651,98.97365,76.1756133802817,75.4027,19.4290450781127,2.8658167113608,5.13769593426134,55.471875,53.534525,53.6664,116.35385,91.64945,86.5751,14,142,48
"ZNF559",0.978264955255295,0.953682318251977,0.97847390904457,196.813392857143,191.005213380282,187.5603125,24.0678824461935,8.92734324615146,14.3788262405737,121.763875,117.50175,121.14675,260.626225,243.1588,235.58765,14,142,48
"ZNF177",0.996287654722888,0.980810956069467,0.881352566584283,36.07645,36.9180035211268,33.9935520833333,9.41210474968768,3.13898446842798,4.95979258566516,12.560775,11.0144,11.865025,50.95185,52.668275,43.4672,14,142,48
"ZNF548",0.89879168179599,0.620087938139383,0.603696992560315,201.419314285714,192.108795774648,180.019225,24.0928369671894,6.4644142406035,9.5057766617216,131.180175,143.3244,143.020175,298.48985,237.06305,215.168875,14,142,48
"ZNF563",0.827642324419466,0.572207854136449,0.671406270882514,38.6152142857143,42.5714183098592,45.9963708333333,5.89680281387284,2.13244011356706,2.92269133206168,19.72795,22.74015,35.17595,52.9476,57.696925,57.847425,14,142,48
"ZNF567",0.9307416585011,0.837779847389448,0.232453205102267,87.2660357142857,93.0509676056338,77.4109270833333,14.0850949340409,5.23327336525129,5.7114404778985,51.08885,57.3406,58.061275,119.6419,121.465425,100.2511,14,142,48
"ZNF573",0.33361797803621,0.179328660578088,0.667873028938307,11.8513285714286,9.39977464788732,8.51641458333333,1.48155332461355,0.536265813576015,0.815492189564708,7.3076,4.815575,4.570975,16.26995,12.4378,11.361725,14,142,48
"ZNF527",0.692531302136765,0.853706906472778,0.0517878536847174,56.44795,63.4175176056338,51.4940104166667,7.84332714976331,2.65321963951408,3.88008330491934,34.28175,40.473525,37.70025,74.89115,83.370625,62.426175,14,142,48
