"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T3","p-adj-TX-T4","mean-T1","mean-T2","mean-T3","mean-T4","mean-TX","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-TX","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-TX","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-TX","count-T1","count-T2","count-T3","count-T4","count-TX"
"ZNF431",0.789716558764313,0.999453568745393,0.787693498059892,0.972196878771182,0.89838279450991,0.979967051380081,0.70490427541019,0.537220776383077,0.740888101174037,0.990012205392559,94.1922720207254,108.265390909091,92.0206716666667,65.2048,34.2134,4.670769086814,13.8851678689748,8.05579577385376,2.2738,17.8449,60.3402,64.019,56.1332,64.0679,25.29095,112.2907,135.1078,105.549425,66.3417,43.13585,193,33,60,2,2
"ZNF418",0.410569016629303,0.0360574437141816,0.992182801435031,0.663123971673637,0.910248864946723,0.946596111357664,0.999999988082813,0.990354618444646,0.974402307174745,0.869811570064941,56.7891378238342,38.6615393939394,33.388885,3.9376,57.3831,4.35703919375254,8.04303787881517,5.28860647094957,0.3415,1.8064,14.1718,9.6753,4.84875,3.76685,56.4799,76.6917,49.7427,41.38265,4.10835,58.2863,193,33,60,2,2
"ZNF700",0.711111570735304,0.0850640020217528,0.0392738201362174,0.958673384259116,0.854842240012454,0.999853646528309,0.769818218902631,0.584373063884787,0.969687004933424,0.997115089504524,370.485630051813,422.65856969697,288.514246666667,263.45075,189.19655,16.6775320699764,45.4778342196073,17.6159331792735,6.70284999999998,69.66855,225.9334,213.9796,174.07095,260.099325,154.362275,423.7303,529.2955,378.14785,266.802175,224.030825,193,33,60,2,2
"ZFP28",0.994582624075956,0.00724777240625041,0.288547323311894,0.998941686614969,0.996383975199851,0.87447320221644,0.860596658405342,0.910865037174608,0.998624501687416,0.900730491818961,153.034824870466,146.021278787879,106.487403333333,170.44195,87.66935,6.64638525712898,19.1417152799806,11.1721816006645,31.99385,27.14405,85.7196,49.4118,24.308125,154.445025,74.097325,213.9108,198.6528,155.4955,186.438875,101.241375,193,33,60,2,2
"ZNF585A",0.989982062873766,0.680914940807961,0.687420196095772,0.999874420786402,0.998803893125061,0.999954664357861,0.435641513569024,0.386891034220728,0.621676628558123,0.806952273725805,122.474066839378,126.414536363636,113.806113333333,117.6127,68.67265,3.20626519299405,6.75766573206055,6.11299186682996,39.3985,16.90255,93.0556,102.5689,79.911875,97.91345,60.221375,149.2653,157.994,140.987475,137.31195,77.123925,193,33,60,2,2
"ZNF138",0.0809915032493079,0.980531239032989,0.0718708261152182,0.813864909165926,0.99469846997002,0.757828864735084,0.459119959404527,0.153007885157031,0.544924086637503,0.291948590231582,149.00137357513,179.934175757576,143.682391666667,198.52395,73.18015,4.66405379233223,12.9421967196461,7.20695692418696,41.51275,42.34645,101.0726,109.3798,105.460975,177.767575,52.006925,183.8216,228.5849,170.459625,219.280325,94.353375,193,33,60,2,2
"ZNF429",0.998123943043553,0.273015933627576,0.484221803530542,0.999099361402663,0.997570965016989,0.999853413857861,0.393533428407924,0.37224190029281,0.666293718796584,0.817699843429329,150.955034715026,155.148884848485,129.433825,137.82795,58.98495,5.41101810646818,14.8215240180047,7.47607832454921,57.36625,37.28715,100.5089,97.3579,88.337875,109.144825,40.341375,180.7018,197.2097,164.79365,166.511075,77.628525,193,33,60,2,2
"ZNF470",0.342922140479678,0.00269933296916491,0.901918049738898,0.973682562064807,0.819598683034655,0.656556566093938,0.586933463751671,0.877700685293072,0.957804348455628,0.580996576283563,132.992060103627,112.927354545455,101.915526666667,157.7939,73.33205,4.15578073365645,10.3811181253561,7.15447561641961,26.5379,20.80065,92.3773,74.7253,67.2601,144.52495,62.931725,163.8934,141.7798,137.5746,171.06285,83.732375,193,33,60,2,2
"ZNF100",0.802173684195175,0.199872347761593,0.109493148373941,0.978662803340951,0.915370079733451,0.999944576551763,0.608206227793855,0.445935580939529,0.867754231291751,0.973676360889943,132.908368393782,145.976654545455,112.962541666667,107.33435,69.23875,4.72516580353738,10.9316442158494,6.75933247493268,7.54385000000001,27.74655,88.0664,90.62,66.220125,103.562425,55.365475,163.5117,190.1384,150.61775,111.106275,83.112025,193,33,60,2,2
"ZNF398",0.985965941707642,0.984956382235543,0.999985361512095,0.999661155032582,0.999997121896631,0.999986726851333,0.999751852260235,0.999999058596091,0.999993648769166,0.999999997131958,295.153288601036,283.745115151515,286.034303333333,278.62585,279.87435,7.02793345476544,22.0855665338411,21.2394410418968,24.20495,96.60075,225.9475,185.098,200.061275,266.523375,231.573975,345.887,334.4541,318.836425,290.728325,328.174725,193,33,60,2,2
