"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","count-FEMALE","count-MALE"
"ZNF3",0.142759935301519,721.696446753247,782.965069953052,41.7431237768062,20.027941285184,539.0914,559.9936,805.3663,948.6804,77,213
"ZNF606",0.852016951854304,214.177219480519,211.813553521127,11.4551436166598,6.38751000256865,155.8186,144.8199,265.0769,262.8523,77,213
"ZNF91",0.00356168119012812,323.244011688312,273.196852112676,15.1483214514986,8.65282652843718,224.0488,197.5719,403.4496,328.3989,77,213
"ZNF226",0.8566100892019,290.136851948052,293.227082159624,13.5238629548269,9.03382616971322,209.0512,204.305,350.6651,347.4715,77,213
"ZNF229",0.197981671589304,131.059145454545,115.895092957746,12.3029397166697,5.49578137081005,43.4976,53.3072,201.0085,162.108,77,213
"ZNF180",0.000112954134778187,117.131031168831,96.6419525821596,4.87350888374514,2.60803344625755,92.9678,73.098,141.0526,111.417,77,213
"ZNF641",0.00701928731399593,115.822172727273,95.9704985915493,7.96522088308789,3.32511448326542,75.2106,58.3225,148.9938,127.9668,77,213
"ZNF610",0.581232398893712,98.4389116883117,94.9420516431925,6.03720583066833,3.12102597423328,61.9694,60.3728,128.8433,129.8675,77,213
"ZNF528",0.853264149359345,296.700853246753,291.931535211268,20.6679534077207,13.566694256201,162.0977,160.035,393.5759,354.4625,77,213
"ZNF701",0.406160964338055,113.722020779221,108.449445539906,5.91267888763045,3.15582789298819,83.8436,75.8561,140.7596,130.7775,77,213
"ZNF283",0.00218422686921227,40.197938961039,33.2918737089202,1.99419720642261,1.13324408313642,27.2975,21.5916,51.3699,39.9805,77,213
"ZNF558",0.69449869089909,382.887742857143,396.604000938967,24.6636733011623,18.9790685526084,243.3067,232.72,471.4502,491.9591,77,213
"ZNF597",0.807901884862823,43.4503064935065,42.7549018779343,2.90820420414829,1.35987932004169,26.3053,28.9963,55.0503,52.7704,77,213
"ZNF30",0.814374164841296,60.3916688311688,59.6374159624413,2.47108670165978,1.71007376868775,43.8271,43.1373,74.1081,70.3276,77,213
"ZNF354A",0.542093576710394,305.399241558442,330.708731924883,17.4953772263831,24.0938957475415,213.4464,216.1219,351.4799,370.0147,77,213
"ZNF764",0.101271800549997,206.028174025974,218.550067605634,7.26536400756101,3.75310263058988,166.0217,181.2627,228.4821,245.1517,77,213
"ZNF747",0.000904505578386616,318.293632467532,359.373241784038,9.7851764426786,6.45864305288747,264.5193,297.3923,362.8752,409.767,77,213
"ZNF778",0.0412390857016315,66.720512987013,58.1533953051643,4.55547848943008,1.89953885934573,42.0765,39.9493,74.8733,67.9159,77,213
"ZNF212",0.0127314836682227,347.855022077922,396.510541314554,15.7029760754283,10.1942304002646,267.3416,282.277,393.4021,475.7968,77,213
"ZNF282",0.238508126703552,880.630846753247,930.324128638498,41.0483369647894,20.4956585761637,683.2413,744.7243,997.4566,1062.1429,77,213
"ZNF160",0.686201899521217,636.436306493507,658.745672300469,32.8176734656847,30.9523264609784,430.0156,387.698,772.4458,786.9191,77,213
"ZNF415",0.000733084501768344,167.35785974026,127.977650704225,11.2048795476929,5.63323626797398,104.0638,60.7143,229.8271,181.7597,77,213
"ZNF439",0.419344425378731,133.099438961039,122.519358685446,10.1266017417934,6.96027016313171,66.2036,56.1896,173.1667,163.7382,77,213
"ZNF440",0.609796254574523,224.582836363636,240.008770892019,18.0688839952508,16.9261978069676,134.645,142.4687,271.3474,279.9691,77,213
"ZNF562",0.035901809108562,320.850328571429,285.695698122066,13.9869411152294,8.65857752645329,228.8066,215.0538,381.0236,332.8999,77,213
"ZNF561",0.0952898290784988,567.21542987013,523.330433333333,20.4337695072013,13.9246681425896,419.8016,425.3774,665.048,586.9928,77,213
"ZNF584",7.21871399100849e-07,190.453258441558,161.791238028169,5.05745156695168,2.86785197441788,160.4123,133.4214,225.1762,187.3148,77,213
"ZNF274",0.00372727416340735,437.381731168831,510.047488262911,23.2242002583044,12.3625592388238,311.744,389.313,524.075,608.6329,77,213
"ZIK1",0.0212720746481817,69.7770961038961,55.1090150234742,6.6898582763749,2.94466165243543,25.5144,26.6019,102.0572,73.0005,77,213
"ZNF540",0.0652133559211036,66.3265233766234,80.5355018779343,6.02302163606605,4.06902318295562,31.5208,39.3101,95.5967,103.4483,77,213
"ZNF570",0.00108268684331836,59.7215844155844,48.3473774647887,3.63081749884253,1.60395285721756,35.0271,30.1151,82.1946,61.058,77,213
"ZNF57",0.698942434446364,106.367136363636,109.156833802817,5.74607027759177,3.80147152784358,76.3742,75.9854,117.488,127.5486,77,213
"ZNF556",0.00584159510616566,10.4387116883117,6.06662582159624,1.46709964137305,0.784200502713557,0.4056,0,13.0528,8.1037,77,213
"ZNF554",0.786964185526045,125.411893506494,123.915877464789,5.19505678842725,2.74494003227534,90.9167,97.9277,148.1286,144.0738,77,213
"ZNF738",0.377864796964911,143.778274025974,134.650730985915,9.70524438305128,5.13009449831551,99.6774,81.5013,166.814,162.4509,77,213
"ZNF596",0.00193050955967045,77.5610714285714,103.450084037559,4.49529238210842,4.69739546719341,53.5129,55.0471,101.2306,130.2521,77,213
"ZNF621",0.498181451146578,794.548266233766,758.001938967136,54.2648611726423,25.8024480200429,518.0879,481.9782,923.1228,928.3874,77,213
"ZNF680",0.417532664438806,200.139890909091,210.065438497653,10.7220134610569,6.2460046460304,130.418,146.355,256.3484,262.9263,77,213
"ZNF483",0.132474199861603,22.734725974026,19.4835629107981,2.48123491286171,0.936584115418688,9.3209,9.6657,30.9056,26.2598,77,213
"ZNF417",0.0788921172077615,125.508094805195,111.324286384977,7.87407960481473,3.91166508110113,78.8114,72.2419,161.4035,140.4297,77,213
"ZNF791",0.00619224722648282,183.8549,152.657593896714,10.7455602332672,5.58542848599719,107.4123,93.2945,247.4133,205.0395,77,213
