"gene","p-adj-Stage II-Stage I","p-adj-Stage III-Stage I","p-adj-Stage III-Stage II","p-adj-Stage IV-Stage I","p-adj-Stage IV-Stage II","p-adj-Stage IV-Stage III","mean-Stage I","mean-Stage II","mean-Stage III","mean-Stage IV","SEM-Stage I","SEM-Stage II","SEM-Stage III","SEM-Stage IV","Q1-Stage I","Q1-Stage II","Q1-Stage III","Q1-Stage IV","Q3-Stage I","Q3-Stage II","Q3-Stage III","Q3-Stage IV","count-Stage I","count-Stage II","count-Stage III","count-Stage IV"
"ZNF17",0.516344032819123,0.000437940380812907,0.549009672755743,0.0741571583303734,0.719547803252937,0.999923982810027,104.222401744186,94.4167652173913,83.7718288461539,83.211,2.53196471353905,6.08666105427181,4.19179433309146,7.67925572572288,82.571875,76.1654,65.09105,61.5455,123.954225,105.29075,101.769325,101.5049,172,23,52,15
"ZNF555",0.990980793606992,0.616420980052499,0.957360206730194,0.339645734149264,0.652643589355069,0.815103075409439,72.5955040697674,70.9826695652174,67.8643115384615,61.5283,1.84692540339158,6.00612791532403,3.5456347853797,4.19251522818599,57.10395,47.64355,51.998925,51.45075,85.476375,89.89495,80.069325,74.166,172,23,52,15
"ZNF75D",0.996096719128889,0.792734635007015,0.980459972008076,0.00647952972636789,0.0606189600744274,0.0601899050672429,381.46629127907,375.563747826087,364.032384615385,276.081473333333,9.10594769608728,25.9663975736961,17.413879960001,21.1030976850104,306.02575,262.58795,273.217425,222.8359,453.034375,465.9576,432.666775,314.8743,172,23,52,15
"ZNF197",0.937508536445503,0.187346954119205,0.874996106198237,0.85058340687451,0.723274338654646,0.262967683051218,287.114419186047,275.95057826087,259.635503846154,305.919833333333,6.37096477848118,22.3995262472478,11.8606147230168,22.5446615854855,229.8296,202.40785,204.95075,254.42075,334.492975,301.4649,326.9687,338.7867,172,23,52,15
"ZNF732",0.610777563825884,0.999999518034594,0.70195996106625,0.344599501328513,0.951712117078723,0.425105918036436,2.80078604651163,4.00351304347826,2.80849038461538,4.78072666666667,0.252522007069382,1.81126716283114,0.403253620171531,2.25609728751025,0.97595,1.10545,1.02125,1.37485,3.4569,3.2777,3.6478,3.3316,172,23,52,15
"ZNF546",0.287776252168333,0.43053336698119,0.926657317420475,0.944360978416844,0.358126946863146,0.544717035360247,82.3034918604651,66.6394391304348,72.7791692307692,88.27256,3.04452713263077,6.21954862797936,4.76743182729997,16.2083667606808,57.4255,38.90875,45.414075,53.1048,97.86915,89.67995,99.19385,84.62175,172,23,52,15
"ZNF286A",0.943674205730806,0.463576431554776,0.974052885351104,0.213059394098445,0.626891026752901,0.751783192259667,207.683120930233,219.649230434783,229.903088461538,257.98692,6.23643536868671,27.0586394742545,15.7309530446687,32.1426776059289,156.941175,133.60895,143.2185,162.72285,250.33455,250.5398,273.899075,312.78575,172,23,52,15
"ZKSCAN4",0.34318452441868,0.622245087267065,0.114883289544433,0.595704751806798,0.146597816048576,0.959975276092626,96.1186941860465,107.654582608696,90.1603057692308,85.6321,2.07605070737244,7.88646060513523,5.13151093357633,10.3516993998087,75.63865,77.7207,67.892175,64.6717,114.118875,133.7115,115.5382,107.4093,172,23,52,15
"ZNF643",0.68235082867141,0.999997683357024,0.750777316287662,0.924292332846724,0.595453827568638,0.942849152329276,20.1028877906977,23.0901652173913,20.0672826923077,18.07034,0.788780431171666,4.45685431279935,1.72775954482283,2.66597921568364,12.866175,11.4633,9.840625,12.1259,23.547425,23.5985,26.03205,19.81465,172,23,52,15
"ZNF642",0.775064255968701,0.03994947399696,0.834766091160596,0.855919570241752,0.999999853939053,0.892954731274321,71.3206063953488,65.3211173913044,59.3606788461538,65.2516066666667,1.80889896984895,5.24360705131523,3.83083263895852,16.5497262656559,55.350325,49.65035,43.939,23.8001,81.402525,73.4851,78.250575,71.0697,172,23,52,15
"ZNF490",0.990863097891522,0.457340285686363,0.910001715737016,0.999791165746268,0.993366121545646,0.820222074649207,206.110020930233,210.029865217391,219.931775,204.774826666667,4.38519408477449,12.527821920874,9.28549319862458,13.3511571600241,167.783275,164.5091,175.059275,170.0833,237.868375,260.1669,251.2964,244.34825,172,23,52,15
"ZNF626",0.705920235776415,0.889831340656827,0.496911051357448,0.996473911506061,0.808616125811934,0.997558532668428,220.020191860465,257.51402173913,202.144144230769,210.90838,8.95772613303907,80.4157783476289,13.3612732545919,36.3630603718562,153.213675,146.7129,135.04295,126.6824,260.07165,212.74085,273.587975,272.37625,172,23,52,15
"ZNF793",0.759386668740828,0.000842889337521302,0.401166380227435,0.614515528392381,0.987305093034865,0.772385363929346,127.753552906977,111.686395652174,82.8491346153846,103.56188,5.66428574804606,18.686348778201,8.08397188458034,22.3883691323955,78.338025,49.05065,37.3308,43.027,163.7516,140.34995,116.3355,137.1163,172,23,52,15
