"gene","N1-N0","N2-N0","N2-N1","N3-N0","N3-N1","N3-N2","NX-N0","NX-N1","NX-N2","NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX"
"ZNF443",0.205177159563073,0.930754212057822,0.995217383039204,0.997784992110941,0.724578124707829,0.933932424399134,0.821521551798404,0.509764820188539,0.672749413520821,0.930175658919388,51.6497055555556,64.7513523809524,60.4463416666667,47.2114714285714,24.53645,4.36574339806835,4.52130339591814,7.48654171422676,8.41672531679841,21.74095,26.30685,33.3069,44.871075,32.55805,13.665975,67.28605,84.89145,69.601475,61.89855,35.406925
"ZNF792",0.0821509126511613,0.999714610750257,0.740744111892825,0.98879851258876,0.969902339570207,0.998667204816939,0.990591685067419,0.818247289455914,0.986260195190184,0.966192638827197,137.489547222222,184.344026984127,143.714908333333,157.743942857143,102.4655,10.5699765970557,15.7123965519776,20.97242835973,44.6328512458185,88.0885,70.961,80.1197,97.1514,62.6777,58.42125,187.95025,258.1583,186.87675,198.96865,146.50975
"ZFP82",0.634340349958568,0.945140779224172,0.999999934048141,0.890271480855132,0.998021082720743,0.998760642579784,0.999999656863081,0.998236824637997,0.998789937033417,0.993360690352848,56.0072152777778,37.086073015873,37.66105,27.4054571428571,54.03065,12.2561179500443,6.08407536141654,12.9013118449161,8.67159885391762,23.27985,9.79675,8.15905,13.84035,9.08185,42.390725,62.842,43.43745,30.769075,40.5202,65.670575
"ZNF707",0.999828585492682,0.996391610613024,0.998903239499091,0.997691167908984,0.995040968510581,0.987003144771866,0.999603710042717,0.999833543303289,0.999999018563552,0.997047849957041,211.852490277778,209.416706349206,202.307675,222.657785714286,199.35035,10.9169335892241,9.63862664250006,25.8383076067479,27.4282193095206,35.47395,144.161925,155.10985,144.3294,191.9051,181.613375,262.249875,246.08435,216.0579,274.12485,217.087325
"ZNF746",0.98385401408623,0.980281767592045,0.915025364808482,0.997317800425377,0.999976732838153,0.967196841792494,0.919091866682322,0.954818004796431,0.848692134699009,0.977456896156889,624.3837125,597.189725396825,676.2468,585.3433,447.0597,39.2106719371066,32.3301075652464,89.1333014828506,67.0310072281052,156.7242,426.034275,453.46465,507.29985,454.8823,368.6976,714.2273,673.18065,759.357675,708.70695,525.4218
"ZNF678",0.915530844403601,0.997786297634897,0.936720762776867,0.999999938218139,0.996964786556194,0.999406443307284,0.826448922470317,0.715055100465174,0.908955567545196,0.87283376275927,79.0607958333333,86.1640285714286,74.250775,79.4994428571429,42.0896,6.38618798705267,5.53870686050613,11.1805026060937,17.1107191588428,8.5433,45.3454,54.2867,40.58505,51.1972,37.81795,91.2616,114.0906,108.35125,89.24265,46.36125
"HKR1",0.434799217093419,0.998588380571656,0.965798307337132,0.972240431680825,0.999944650760957,0.997474105792168,0.99972436109449,0.999449136447492,0.999997023775462,0.999918894561822,433.155872222222,508.850149206349,455.858416666667,496.040514285714,467.66655,26.3763279581384,38.8108098295202,40.1139884917605,89.836182835795,109.43975,259.86785,341.57505,384.534025,355.8884,412.946675,544.841575,548.15785,516.56835,570.52495,522.386425
"ZNF101",0.999965612831868,0.999984503071592,0.999999834610113,0.981086755115769,0.97487174573461,0.985012768738497,0.509410632017534,0.494375555965193,0.548210288290828,0.783600936547949,152.632877777778,150.972420634921,150.175158333333,171.744857142857,251.33015,11.7626613610335,9.21209943286514,15.9645635348497,29.380259525377,124.33335,102.7064,109.4794,99.2998,103.75155,189.163475,168.139825,164.9784,168.248725,212.2906,313.496825
"ZNF716",0.998946784861115,0.980156653592415,0.955988077226969,0.972790357518789,0.950870124097029,0.999908728806241,0.991373724997969,0.985943582192273,0.999683625654922,0.99997678593832,11.2438083333333,12.8180126984127,5.14025,2.7993,0,4.75689504354142,4.08232435047684,3.36626228288839,2.7993,0,0,0,0,0,0,0.535175,2.61275,0.596875,0,0
"ZNF708",0.980711393692492,0.160167296763565,0.299833772057441,0.997376210403728,0.979069472979057,0.398124269823795,0.972041866448922,0.98885217610876,0.996854777724917,0.952542908868261,141.986952777778,152.568726984127,219.732916666667,127.585942857143,190.6267,12.4329662420113,13.0224467431626,48.4261252252051,35.5229503830026,51.6491,68.944725,68.4454,144.236575,60.62745,164.80215,187.46155,202.50765,211.22705,170.2621,216.45125
"ZNF721",0.985972887389639,0.798744693478335,0.638752891061252,0.998530767827722,0.999996675125483,0.86894679862502,0.999984979462572,0.999537167463485,0.995949881817638,0.999460014330266,536.785697222222,565.303944444444,424.798666666667,573.228714285714,515.9867,40.6228950573928,41.5636636734505,39.5873642310124,82.2443173659272,68.3988,322.729825,357.8398,326.5427,431.5308,481.7873,611.119275,685.50475,492.79425,633.2309,550.1861
"ZNF662",0.894862258811835,0.981950903774675,0.837050465762396,0.960662212668387,0.998575173613596,0.886771757710152,0.984432671044261,0.997996395228253,0.951851761036673,0.9999218632154,61.0651666666667,49.6087,73.6292083333333,41.3178428571429,33.3029,8.46944906938743,9.4391455925208,25.7132468504355,16.3184478178891,23.3189,15.96615,12.5874,21.145775,4.8545,21.64345,82.562175,58.7429,85.644875,76.04845,44.96235
"ZNF320",0.124694979366191,0.756175011318631,0.99994004549071,0.858395832740595,0.999998874801244,0.999999065612541,0.83985096913751,0.990894302942095,0.988835924065991,0.992603933288015,304.351158333333,416.072066666667,405.184858333333,410.983442857143,505.2465,31.1286147750218,35.1008867003267,69.5992918323695,128.855003832174,94.1944,101.866175,212.5796,218.445625,176.8976,458.1493,446.047525,588.5814,628.383,642.18075,552.3437
"ZNF530",0.863006485304348,0.990326565761975,0.999991646644889,0.928539137654838,0.7363326282272,0.865898957153192,0.911137381609626,0.971385999164577,0.972217336690222,0.770547275377462,60.9760486111111,68.4110603174603,67.3367333333333,46.9780571428571,88.013,4.3451566506155,6.77316200910626,8.02276403738736,12.1900913230857,13.4247,32.932825,32.2057,42.00255,23.89335,81.30065,79.161075,94.7083,82.392125,65.81785,94.72535
"ZFP1",0.827192521198879,0.76118716508752,0.976246170483324,0.698311720686949,0.923314882569226,0.998272903641331,0.796761578541284,0.910358410702227,0.979673461181094,0.99624997051786,250.189297222222,233.141346031746,215.766708333333,202.554914285714,175.37845,12.3666479149627,10.7169988149371,18.653549740414,26.806417764892,66.35285,178.239675,176.28595,171.114175,171.25,142.202025,279.511175,269.83945,263.5029,247.322,208.554875
"KRBA2",0.67007479166947,0.532107075189127,0.162164752190497,0.827238002122784,0.480691743473434,0.999925413689384,0.93395632387019,0.802971606276194,0.999970744431961,0.999756599777881,69.4522305555556,80.5848825396825,46.0919,49.1859,42.16295,5.29568811640332,7.13766802618081,7.06843238429594,9.7999299660034,3.02555,39.313,44.61995,34.024375,42.4167,40.650175,87.210725,99.6741,53.8595,48.215,43.675725
"ZNF93",0.959054989936049,0.911981189458494,0.737078476312727,0.994964825171991,0.999983587526196,0.900923613577001,0.99928033502375,0.999993572572448,0.978746577364504,0.999999967047866,84.8458180555556,72.3669587301587,112.98465,68.5051285714286,66.8616,15.3081941140534,9.62684057802953,27.6611789723144,16.4321825568682,33.3153,20.831625,15.39035,28.0062,43.2589,50.20395,119.5985,109.18805,192.63775,91.5755,83.51925
"ZFP90",0.522993142415666,0.24757783187243,0.76678933436675,0.822153255037454,0.995293009513615,0.991145518718691,0.984263211312868,0.999877799590153,0.997081091614542,0.999997912223078,558.047484722222,492.90656031746,403.694625,455.852328571429,466.4886,31.4297706669211,27.7337561088004,58.0763790193597,68.4127283439855,233.6611,369.33685,352.52625,284.142575,307.2697,349.65805,689.253425,639.68825,538.323025,587.75405,583.31915
"ZNF479",0.999748094590569,0.999899982085438,0.999215880264801,0.988245411625628,0.979823515216839,0.997911867915632,0.998135603518399,0.996863576475439,0.99941814531895,0.999999821207834,0.751973611111111,0.860925396825397,0.595891666666667,0.0823285714285714,0,0.444776685957849,0.44096150575701,0.496556873281176,0.0823285714285714,0,0,0,0,0,0,0,0,0,0,0
"ZNF445",0.348537144436734,0.998792667189018,0.945504778351745,0.981990899691562,0.999036884427113,0.998671049320656,0.995707189438691,0.924144760253515,0.990401628048896,0.973803024459237,571.509431944444,647.2148,591.593433333333,622.985228571429,507.5924,27.0266203473683,31.4111205840761,58.7111479611209,97.7664334269368,147.3688,418.047025,477.7447,499.988025,385.1921,433.908,671.785475,774.95175,621.795375,832.38185,581.2768
"ZNF74",0.466116513968853,0.990153308692163,0.991936468851662,0.664609942646042,0.971852829616529,0.926579111177129,0.910412259643003,0.990487506763084,0.972039666917857,0.999970132171971,432.760305555556,354.661012698413,392.88285,287.116714285714,263.63485,40.7685079926831,23.834455107357,65.0243117537651,34.5271481576622,3.93705000000003,267.640025,247.20085,278.3353,227.5611,261.666325,474.785875,410.80155,410.339925,315.10275,265.603375
"ZNF829",0.992867150703137,0.999844563408389,0.999992810802856,0.839180971628418,0.917103077643695,0.94293894908938,0.995082717162245,0.998528744452441,0.998229056816049,0.999842563726471,16.9514111111111,15.2431714285714,15.7872083333333,7.50484285714286,10.50815,3.27242782940677,2.36489551173203,4.8775649777673,3.6808827199501,6.91395,2.2767,2.04265,4.43665,1.23365,7.051175,17.3868,19.20975,21.0992,9.4351,13.965125
"ZNF267",0.114390211633156,0.986218826073421,0.923298339104228,0.864730841934799,0.260605065306377,0.780124733621896,0.99990445007096,0.950359592673709,0.997002396223917,0.996567806389723,596.119534722222,490.174963492064,555.801358333333,694.204685714286,622.1178,32.9278567724804,27.5651559459282,53.1128455202572,138.151905203712,36.6545,413.804675,336.25215,376.81815,406.87255,603.79055,675.38925,603.0747,712.304575,852.6539,640.44505
"ZNF566",0.989647826165495,0.994454636415618,0.999915949196328,0.998689871845309,0.999994266136976,0.999999741993234,0.991754638045534,0.980722279195141,0.977494486469231,0.983519486164086,175.964120833333,184.938573015873,189.739041666667,188.036571428571,140.8392,14.3184572234633,12.6376609942978,27.6996325055057,32.5718959750486,58.9702,101.107075,108.0993,122.040075,141.25635,111.3541,213.833625,234.75045,239.563725,243.01205,170.3243
"ZNF224",0.508828559800613,0.653633546821778,0.989203604175434,0.170245118274218,0.53766860770684,0.866562944152117,0.773982768514904,0.936907005050172,0.983769804780493,0.999994601276436,171.490995833333,198.263004761905,213.0125,258.340957142857,252.87365,10.7351553646211,11.1277479016605,35.9005834409225,69.557534881656,1.93514999999999,114.33825,120.4571,132.06845,128.07905,251.906075,200.69095,268.4503,268.7071,363.86095,253.841225
"ZNF529",0.997172497857275,0.961498242171515,0.913221005148071,0.999805189318932,0.997805795479476,0.998217232794939,0.948409848996536,0.966272377873283,0.87086900594871,0.946687026241603,367.941230555556,353.639055555556,419.622841666667,384.5885,238.89565,29.3869116456795,32.9821578520067,36.9916483542968,75.4860431413806,91.57935,209.89585,164.6236,359.337325,253.1362,193.105975,462.235975,418.34475,481.320975,410.56075,284.685325
"ZNF284",0.935667430318901,0.990399548189486,0.999999779823006,0.99993039549011,0.989934691439921,0.99377100571518,0.99999959924545,0.999436171454097,0.999440541874161,0.999999734714701,41.8585458333333,45.688780952381,45.9689,40.3709142857143,41.118,3.33277662540108,3.69643678278885,6.80898939276289,11.5242105466715,6.0741,24.00705,23.4881,34.36305,15.94885,38.08095,53.69435,58.5746,57.15815,66.9646,44.15505
"ZNF749",0.999762455660949,0.984865838315256,0.993458736747619,0.690654931666823,0.742434406667113,0.946648649270365,0.874099844618728,0.892254713312772,0.959703417202865,0.99954398430322,130.027169444444,128.289522222222,120.897133333333,101.200085714286,91.67975,7.12523198178277,6.60838316986202,15.6345494603387,15.1417827408203,16.54705,88.537175,95.556,87.22985,73.7231,83.406225,152.84635,141.1573,127.982625,128.72095,99.953275
"ZNF17",0.991105605280071,0.975712060810574,0.997109775891807,0.999985839848177,0.998542350698834,0.990417736562761,0.949335915044216,0.971887412909577,0.992018848719435,0.957082431387577,143.78895,147.923496825397,153.561558333333,141.937842857143,171.3529,5.95146021931239,7.01572732768827,14.8785124790471,18.3898068939971,37.1676,110.562375,109.4455,123.11495,108.16505,152.7691,168.774425,175.9846,202.852925,167.8319,189.9367
"ZNF555",0.783527061921632,0.999904294574837,0.939463844779022,0.999518433458718,0.954255655570503,0.999987926957824,0.77642307935038,0.610692893811535,0.842908644401445,0.886054147803316,70.8733277777778,77.1963873015873,69.4407666666667,68.1406,44.30165,3.34660008201526,4.70992825841093,7.81086131351658,6.97214111197114,25.93105,53.102975,51.74385,49.731,54.8175,31.336125,82.643625,88.65355,89.02975,82.4983,57.267175
"ZNF75D",0.488382163563313,0.464458463868874,0.94338672591946,0.909989056914372,0.999862873023191,0.99607954874099,0.999882727454284,0.983107702105984,0.924913882008409,0.980432222378327,307.960326388889,348.472628571429,382.9,357.540071428571,292.27435,16.0593192320452,19.3935691652613,42.7621517787067,54.7053881557981,115.90855,199.1634,248.28875,278.573225,257.0906,234.320075,392.49645,413.11375,458.119675,460.99735,350.228625
"ZNF197",0.454112234189819,0.998395040731093,0.748389824124129,0.656951786534233,0.971228714585828,0.679284923676847,0.988370913086346,0.900685301772008,0.997137063582017,0.803357910959827,308.257183333333,337.654546031746,298.976325,362.938242857143,272.61185,10.8714839810407,14.6009317560285,23.2994445382715,35.7003284626003,52.96325,257.489925,254.00225,237.674175,314.3565,246.130225,352.9994,421.27365,342.133975,412.89355,299.093475
"ZNF732",0.982158885522031,0.940464232630534,0.99095326185716,0.999247789124645,0.989393329777363,0.955884253063169,0.97573211126592,0.990552611176341,0.999182239821642,0.966320847947076,16.9656833333333,14.5151444444444,10.7796083333333,19.4425285714286,5.89915,2.77130870613484,3.67780367617068,6.04758800757061,10.7898156055941,2.08805,2.2189,1.2701,1.091025,2.9663,4.855125,20.6332,14.051,8.260075,22.5664,6.943175
"ZNF546",0.782579150308553,0.999948558984614,0.944645955017627,0.997410381144371,0.999821820985343,0.996558892805839,0.958002016920203,0.870234820067802,0.975006849736336,0.935604501943515,60.5715208333333,69.0644888888889,58.92755,66.1943428571429,39.2387,4.92256280952836,5.80840634234369,9.73474094658902,15.8577968325462,18.4719,31.6068,36.02495,27.1557,35.7308,30.00275,77.952325,84.297,87.455675,94.65535,48.47465
"ZNF286A",0.833592183527477,0.925886148977567,0.999336323213117,0.786235397386195,0.960955909908925,0.993828019236616,0.863453780016025,0.94970482050054,0.97664175256259,0.997835622800872,348.44465,314.058392063492,300.04625,262.585085714286,214.3948,28.8074649512399,15.9031264624891,39.320901397072,23.5904913445311,119.3469,207.47315,231.46995,186.7677,221.04535,154.72135,406.888975,390.82775,399.446725,292.48065,274.06825
"ZKSCAN4",0.377920467683773,0.34749922750009,0.914773528996734,0.999934062302688,0.893207854582728,0.677168317076061,0.999124025024521,0.999750976534395,0.985087413249139,0.998475761049009,79.6859638888889,90.0889079365079,99.0491666666667,77.9549142857143,85.7026,2.84995381774645,3.76326761906866,22.0083957194726,13.2750100421526,26.9965,61.7912,71.85125,63.7662,68.1187,72.20435,90.28075,108.9432,97.229925,98.11985,99.20085
"ZNF643",0.999414966609077,0.150115538356052,0.120356130131534,0.99494563124634,0.998398108191028,0.357195307625622,0.974678673485245,0.982286144193059,0.561475174742424,0.996961827029922,61.1435833333333,57.8980746031746,120.862516666667,48.2172714285714,25.26425,3.8986440140478,5.84915004011406,79.4360573639806,5.69486080015985,8.49105,35.05245,27.16515,33.3658,37.0335,21.018725,82.52905,64.49725,52.7183,59.72575,29.509775
