"gene","YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES"
"ZNF212",0.130081414373587,281.842647169811,251.142640740741,12.2691161491461,14.7805290994746,196.5064,178.1035,346.354425,287.470125
"ZNF282",0.126092295581933,995.373061320755,896.47857037037,35.0387425676575,58.2515564744006,752.502475,659.07365,1207.507125,1074.815
"ZNF160",0.696930457752986,465.926280188679,444.915338888889,33.4802786269706,36.9851763118792,271.70815,275.168975,579.075925,601.93425
"ZNF415",0.720458035077709,48.100770754717,42.9627111111111,9.75209623035592,5.98899114507767,8.362775,14.682075,45.953975,62.215775
"ZNF439",0.364251416731243,46.6952386792453,55.074412962963,5.17621446218776,7.95517506833915,13.052725,16.37295,57.2515,71.2482
"ZNF440",0.737456497824662,455.226223584906,467.257992592593,20.3192556236496,30.4906209200473,310.6994,318.35915,552.5598,585.935975
"ZNF562",0.755856424787222,712.751146226415,697.98062962963,28.8731847086634,34.634404592476,556.580025,499.452675,786.60875,878.83885
"ZNF561",0.720427921033533,580.115226415094,566.944209259259,21.4390053477505,29.6302391753199,474.738725,392.675925,626.962825,648.67295
"ZNF584",0.709614436170463,202.608053773585,195.366818518519,11.6091789759977,14.8339524810745,142.8046,131.619375,226.173675,226.255625
"ZNF274",0.583594290625189,369.747654716981,389.84635,19.5883440840776,33.9444523970815,252.150375,235.361425,431.5809,434.284575
"ZIK1",0.444328487335169,24.2524886792453,19.975162962963,3.63356778177231,3.17883274298126,7.5827,7.153075,24.170025,24.7673
"ZNF540",0.861281887139906,23.2087594339623,22.4200925925926,2.80436751348364,3.0847267479577,7.07295,8.7959,27.9237,30.9385
"ZNF570",0.885001991074657,34.0210132075472,33.2606740740741,3.0984079343331,4.13195709531627,8.98,12.5321,51.259275,44.855725
"ZNF57",0.60151690166784,174.114200943396,166.643064814815,9.20347754089127,8.55591803678818,105.06155,125.265575,213.523675,209.59565
"ZNF556",0.79831491873505,21.4824141509434,22.6968111111111,2.54765061921483,4.38367519021779,1.676,1.853875,30.22645,27.436075
"ZNF554",0.263150831626769,92.3198660377358,101.658335185185,4.59836047256044,7.37201133912828,60.97545,65.18575,114.7941,126.01995
"ZNF738",0.718280523911538,161.39530754717,173.026618518519,20.5566352278768,20.0584007503481,58.67045,69.4209,201.768875,242.673475
"ZNF596",0.172022380390331,50.2350886792453,58.589012962963,3.12789354552647,5.93116919940032,24.99115,28.758575,67.877625,78.005175
"ZNF621",0.0338154600505177,623.838671698113,727.694253703704,23.7965671909587,49.4514610749208,469.950675,500.0395,778.685925,854.9776
"ZNF680",0.207920110270808,279.363880188679,318.40122037037,15.7543291748645,30.2844554875382,158.604125,181.227675,354.431675,362.553875
"ZNF483",0.971454960843159,38.605891509434,38.2652444444444,6.14560807559553,5.61591486094088,8.7519,14.0278,45.052375,45.39095
"ZNF417",0.779729100145489,240.65566509434,247.776618518519,15.6689116003762,17.9236319764827,145.49465,140.607725,282.535875,329.669375
"ZNF791",0.960985671717575,357.516183018868,358.677672222222,14.0251163685844,18.5740495460141,260.91335,251.808225,442.9537,432.825975
"ZNF519",0.866989713155669,68.9764066037736,70.4532611111111,5.4826372514803,6.01425388236947,35.862475,37.21325,94.21945,101.863725
"ZNF25",0.820959170102889,194.110873584906,197.994848148148,9.45048036970256,15.2464827786658,115.466575,116.5585,258.163,260.613175
"ZNF77",0.987335925001514,89.6400396226415,89.5199814814815,4.72141384228018,5.0935844286243,58.744825,66.384475,108.19795,106.082
"ZNF169",0.549802073954623,112.83654245283,107.130666666667,5.8865072381355,6.65198963179247,66.764275,75.538825,142.7788,134.740575
"ZNF613",0.081979666543568,75.9155735849057,92.7783222222222,5.51845602542492,8.05305745731057,37.16645,57.591425,92.8612,117.25355
"ZNF404",0.0945305280569392,33.2705066037736,42.7964111111111,3.14482469550038,4.98809691825336,15.092975,16.287125,37.358275,59.3009
"ZNF135",0.0849546969881433,28.1520773584906,47.021162962963,3.74707647931685,13.3938832443847,8.3374,8.919475,28.65125,36.126775
"ZNF620",0.105140720870278,57.5107603773585,70.6061981481482,4.7166729787896,6.40279893092573,22.9317,29.31375,78.795075,99.12755
"ZNF619",0.329368335321946,75.4355575471698,82.1016259259259,3.86560368589188,5.79371147563833,49.927025,54.41545,92.320075,105.512725
"ZNF354C",0.723203159398847,37.1592952830189,40.0394740740741,4.98244710380443,5.79640847915862,7.435075,11.35545,47.4772,48.6387
"ZNF114",0.199540286919878,47.8234962264151,68.0926962962963,6.63962129016863,17.8179137494858,3.2427,4.32615,72.817925,79.9746
"ZNF454",0.830786729957617,8.65508301886793,9.02088518518518,1.01582750452596,1.32486666331574,2.122975,2.843175,9.9167,12.241275
"ZNF543",0.261028228099941,203.850268867925,188.33757037037,8.36965832145999,10.0550744486917,147.68205,133.71895,252.727525,234.478525
"ZNF354B",0.864743824927055,127.945680188679,130.582061111111,10.320590242823,7.57250985590469,76.701075,89.968375,146.285375,161.291525
"ZNF223",0.966427678321374,63.2656245283019,63.5478462962963,3.82538663152124,5.62225609711958,38.029075,36.068375,79.437475,81.46235
"ZNF713",0.67850490063385,74.8383075471698,79.4989,6.47783778221687,9.25056043576028,35.89605,43.439425,91.151075,87.39145
"ZNF552",0.546206280293507,187.106866981132,198.102227777778,10.6465190063329,14.5623333952684,122.17705,117.601375,226.9546,261.07255
"ZNF154",0.557925229478574,62.4303273584906,67.1532518518518,4.70896932479009,6.44548195402235,30.31,27.627825,82.84005,98.4087
"ZNF571",0.121948293054881,56.8182943396226,68.7743222222222,3.83561642136645,7.71647641026656,28.933225,30.498475,72.3535,82.589625
"ZNF443",0.394656731778027,57.4893037735849,62.9843055555556,3.84129341371375,4.94730529799065,29.493325,39.992025,75.5677,80.193775
"ZNF792",0.742412216931382,158.937401886792,164.869662962963,10.3528900789069,14.9790932454029,83.913025,67.77625,218.7878,225.544725
"ZFP82",0.442915454235588,48.7430198113208,38.7087907407407,8.76651126411213,6.10015651144214,9.5233,10.146775,54.662825,49.3842
"ZNF707",0.554125432903093,205.538197169811,214.040353703704,7.99585174620981,12.5521936799957,144.671425,149.478525,246.90845,262.957875
"ZNF746",0.369062466179602,631.315564150943,586.321868518518,28.3655725792985,42.4059532046681,449.987875,419.563125,734.6963,662.2308
"ZNF678",0.20772734884109,77.7990009433962,87.8211333333333,4.3338600007306,7.135898490721,43.9201,56.142225,97.726775,113.783575
"HKR1",0.0530269608259829,431.91818490566,511.3688,19.8369864949745,41.8400127094753,296.33545,334.012875,536.1025,604.9195
"ZNF101",0.529531490642942,157.007594339623,147.956648148148,9.19632310552117,8.86565628255323,100.802575,109.311825,181.304125,166.72185
"ZNF716",0.599383302017481,9.21485094339623,12.1870166666667,3.31775189421232,4.49083277172943,0,0,0.913775,0.792325
"ZNF708",0.0841754453770461,145.601264150943,177.08647037037,9.05118580237707,18.1558090085619,83.87895,91.610375,193.414975,219.9338
"ZNF721",0.210418991391725,516.216118867924,582.961705555556,28.2480372083788,49.6059210427866,337.092125,366.69815,598.346125,720.874175
"ZNF662",0.467552719196249,52.3231424528302,61.2659092592593,7.07170869204359,10.1664483591942,12.157875,14.891475,59.8399,76.337225
"ZNF320",0.347508216236097,359.014551886792,402.117781481481,27.6380064394448,34.094260417192,129.757525,208.71895,527.014725,573.6486
"ZNF530",0.180257643629217,62.1282650943396,71.8119203703704,4.04412622423725,6.21568957074964,32.7911,44.6375,78.203175,95.63725
"ZFP1",0.386409439366559,233.28523490566,247.150918518519,8.9078340803443,13.9554388838,158.658175,174.726025,271.065475,276.780075
"KRBA2",0.338363511259601,73.109791509434,65.4802851851852,4.83002892821193,5.82552377624107,39.978575,39.997775,91.4557,82.0595
"ZNF93",0.569908661800265,78.0766264150943,87.9889944444444,11.0793682681046,11.0094813666381,17.8263,20.985825,106.701875,136.303025
"ZFP90",0.910233069436205,504.033839622641,508.660187037037,25.1363813129926,29.286135974622,318.651825,368.8025,672.548675,639.46705
"ZNF479",0.104206410060265,1.91610377358491,0.105977777777778,0.789094264017744,0.0400414301224624,0,0,0,0
"ZNF445",0.383871845042066,606.123381132075,642.661525925926,25.0856178152959,31.7918410081958,435.008075,463.6081,718.101525,762.769375
"ZNF74",0.217951482672798,409.966868867925,352.191611111111,30.1264328517433,27.9166157294361,258.68515,235.419475,442.921725,418.276575
"ZNF829",0.197365595934764,16.6692820754717,11.7289796296296,2.5097778866243,2.06573857116654,2.10405,2.1605,20.154,13.26115
"ZNF267",0.746092174448102,542.933679245283,556.883998148148,23.1286684028878,39.6596520050637,344.8737,373.091525,660.513575,667.109775
"ZNF566",0.979257176486221,183.60463490566,184.082727777778,11.2975320770744,13.0123263338188,103.741225,119.559125,232.0188,233.29065
"ZNF224",0.18120210965753,183.413729245283,205.052442592593,8.6775901668596,14.8287366129434,116.95285,114.67175,238.610725,297.2977
"ZNF529",0.484580217590339,352.413817924528,380.271340740741,23.4287963658577,31.4305891634425,202.8401,224.496925,412.261475,479.7221
"ZNF284",0.633756108287972,45.794820754717,43.4389740740741,2.7927246153394,4.21537139812014,27.27885,21.42105,57.03425,63.2365
"ZNF749",0.40747625023345,132.130562264151,124.058942592593,6.10705555995493,6.44120605522555,91.674,91.088275,156.88915,145.8559
"ZNF17",0.65053432414088,145.254540566038,149.22237037037,4.71777738451198,8.023422697223,113.0388,111.461075,166.4272,175.918025
"ZNF555",0.782375379565026,73.1869216981132,71.7194425925926,3.45238202622987,3.03337552041482,52.2221,53.18455,86.88595,84.951075
"ZNF75D",0.66475058171007,330.017085849057,340.548868518519,13.8524399537244,20.3919554438174,205.059575,224.429125,406.547125,430.99815
"ZNF197",0.00702229372857033,309.587953773585,356.972683333333,10.4861708357797,12.912568592264,247.6811,281.2967,377.217625,429.34475
"ZNF732",0.99139871870868,15.1803886792453,15.2269055555556,2.62730210366754,3.13250327632397,1.208925,2.12145,14.468775,17.40815
"ZNF546",0.36577547329773,62.5596245283019,68.9976648148148,4.06239687229807,5.94345236456744,28.86015,38.1746,84.3686,81.936675
"ZNF286A",0.257025296184992,341.126866037736,305.319394444444,20.8048692692394,16.5409015586034,211.642975,224.01095,398.1595,379.43215
"ZKSCAN4",0.213727587757701,82.6408443396226,89.7913648148148,2.63939544085325,6.14014356012739,65.344125,66.45055,99.294475,108.558375
"ZNF643",0.599453685750783,67.7602,60.4182203703704,9.5719591153024,5.30246837972826,30.96715,34.80555,78.40555,68.164575
"ZNF642",0.908752985548221,107.462696226415,109.307531481481,10.042525298201,10.8567939950302,68.257,69.86405,114.21765,114.212425
"ZNF490",0.587021337405334,239.093714150943,230.622340740741,9.95119083339154,9.6620038198913,178.16145,183.961125,268.04615,272.474175
"ZNF626",0.7094819762093,87.1504273584906,75.2741851851852,20.1851334163834,20.3791577053819,13.571075,17.158125,62.812625,68.04995
"ZNF793",0.716814226904762,76.5555216981132,70.2863425925926,10.1831409835498,13.5874435085866,8.476,11.285325,91.792475,66.415425
"ZNF383",0.673582172169665,101.852056603774,98.5250740740741,4.68814647684364,6.10493135487224,71.952825,65.024275,118.796275,118.57505
"ZNF669",0.715058044141568,133.498205660377,129.724085185185,6.06096179938382,8.21356817383251,93.1191,85.760075,165.56785,148.2121
"ZNF559",0.757329967170121,154.287530188679,160.309077777778,10.6707184271049,17.4545422118946,62.236475,74.762825,218.51615,242.614675
"ZNF177",0.57343416158323,31.7066849056604,35.2643111111111,3.42605513242932,5.73470682993061,7.975975,7.47245,43.90315,46.9834
"ZNF548",0.736531579117153,240.324939622642,234.19695,10.5118790671472,14.9384415866641,169.082425,150.002175,275.21825,298.9444
"ZNF563",0.679775228446396,34.4922226415094,35.9235074074074,1.86042985566641,3.19353334390551,20.919125,20.4638,43.98165,48.879825
"ZNF567",0.757692189830912,189.582217924528,195.132661111111,10.6986091330208,13.8536147936186,118.72735,124.49775,240.484,255.20275
"ZNF573",0.933508100756643,51.2526726415094,50.7446722222222,3.52246242774538,4.97341698668231,27.085375,29.114375,71.6248,68.257225
"ZNF527",0.119556033968171,82.7798066037736,94.7873685185185,4.33833800667309,6.56154263353975,51.01235,60.2889,107.1615,121.4832
"ZNF33A",0.831703891322116,1152.30585754717,1170.67937777778,49.5235359534567,71.9452667036269,741.35475,763.122525,1536.895175,1400.95025
"ZKSCAN3",0.315733893581685,67.6335632075472,74.5273814814815,3.03435133983028,7.54018869870668,44.52435,44.376025,87.436725,91.1915
"ZNF676",0.586445077108752,6.39607075471698,4.8660037037037,1.82003856470944,1.63650311470226,0.255725,0.288675,4.233275,3.1453
"ZNF699",0.225151996360978,60.2643094339623,49.9630518518519,5.11976263535827,6.27728482703793,31.763575,20.704225,78.98105,56.168375
"ZNF250",0.828682712228952,229.038351886792,223.263098148148,17.0308996543714,16.5577554954799,153.972525,148.053425,253.5548,242.270675
"ZNF79",0.495096983069303,107.217225471698,110.833277777778,2.86092563219851,4.83722024281972,83.47015,87.628125,122.7374,133.253075
"ZNF681",0.31921338887475,86.785879245283,106.535822222222,10.8790940039346,17.643573457846,11.727475,13.4163,120.30145,138.040775
"ZNF766",0.335297937641797,351.575798113208,371.901009259259,12.0863156812341,17.4772165338779,257.5713,268.184275,428.746875,455.9772
"ZNF471",0.47577713233614,36.7486566037736,44.092062962963,4.88800501216597,10.74804141997,9.20335,8.657375,45.41025,37.380125
"ZNF836",0.216731921377763,108.657781132075,119.222225925926,4.62586345433043,7.75166103738952,74.267825,77.09075,136.90575,159.434075
