"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF354B",0.982634499955308,126.712030434783,126.271060810811,16.9809179962135,7.52157115608492,82.97355,77.267475,128.8349,155.79465,130.604081818182,126.087975,126.938,106.8445,102.1925,157.3446,77.267475,153.201975,11.8022252149162,6.50739002489264,0.965421396059667,0.841706187272527,-0.0507692941592093,-0.248611372448573,"ESCA"
"ZNF223",0.33011644477777,72.0259652173913,63.1255986486486,7.56738043710672,3.39251315755498,51.44335,36.094325,79.61435,81.095125,76.1846818181818,63.9852233695652,80.2206,54.1202,56.3867,96.8064,37.37575,79.8461,8.35030259401438,3.0815687139697,0.839869929788102,0.674642174204631,-0.25176217911463,-0.567805585879033,"ESCA"
"ZNF713",0.589429482865475,82.3894956521739,74.4900986486487,16.799904308319,5.14208608660712,29.59435,42.3178,108.8355,88.692425,65.8351454545455,75.5927233695652,59.9347,56.02535,46.94105,87.0388,36.7497,89.0958,8.53962447731284,5.00601518747093,1.14821229371714,0.934773178142212,0.199389407499215,-0.0973117560558526,"ESCA"
"ZNF552",0.557592766169107,180.390260869565,195.464136486486,25.2621623403341,9.32328731842147,132.599,116.63885,186.99295,246.86355,313.866563636364,191.382776630435,344.7574,163.18245,171.6912,451.59285,116.63885,237.36605,52.039147513228,8.63310863538672,0.609758409475452,0.47332544566121,-0.713690344818147,-1.07909561240022,"ESCA"
"ZNF154",0.312557997900687,54.9358695652174,65.7004527027027,7.39183090250064,4.02419035016151,28.41325,30.050025,71.6399,94.240875,115.993609090909,64.9118581521739,63.7255,48.87455,53.50655,188.05055,29.409825,88.31525,28.1751129215433,3.75012707636928,0.559615815568768,0.766954358930099,-0.83749135911771,-0.382787368664244,"ESCA"
"ZNF571",0.821929245921419,59.9702826086957,62.3211358108108,8.0020045750028,3.91526521535082,35.95565,29.58015,64.51145,78.0983,104.980190909091,61.2719565217391,108.5271,52.49215,87.97625,121.2699,26.39885,76.26915,8.34851383061086,3.45685867453524,0.583652553792729,0.483677809505644,-0.776818301277617,-1.04788174451424,"ESCA"
"ZNF443",0.268319380233552,51.1966086956522,60.5416756756757,4.71449075593777,3.22978508554518,36.83165,31.159175,65.51635,77.8084,50.5018545454545,57.7074864130435,54.4366,50.4076,34.2306,62.02785,30.481525,75.9321,6.25650904744758,2.7622367916814,1.14268053980282,0.925987295312345,0.192422124408863,-0.110935695263204,"ESCA"
"ZNF792",0.758515142291344,154.012691304348,161.384583783784,17.7959023349904,9.01439831317399,91.10175,72.974625,202.2014,226.14275,110.088727272727,161.68150326087,131.896,132.24225,73.3573,139.9167,74.136375,226.14275,12.7547268256061,8.19438807313707,1.46864721998583,1.00262517437981,0.554487891401791,0.0037823635466347,"ESCA"
"ZFP82",0.774851438074122,40.2200913043478,45.0951466216216,15.5076646943022,6.25950348890559,9.64755,9.79675,29.4892,54.62965,66.3224090909091,44.673735326087,49.4186,21.33595,37.73635,89.7382,9.79675,52.064075,12.1265603671779,5.55131060673771,0.673584327506138,0.431739264163695,-0.570069523722091,-1.21176779143627,"ESCA"
"ZNF707",0.417545277022071,194.581030434783,209.926246621622,16.1857666152706,7.00282319345114,142.9491,149.71405,236.10335,248.1104,132.908254545455,209.547892934783,132.4324,191.85085,120.7321,144.36985,148.268575,254.240625,5.74645281047145,6.14233654901123,1.57663565480891,1.44867003844981,0.656849305828672,0.534729031678264,"ESCA"
