"gene","p-adj-Locoregional Recurrence-Distant Metastasis","p-adj-New Primary Tumor-Distant Metastasis","p-adj-New Primary Tumor-Locoregional Recurrence","mean-Distant Metastasis","mean-Locoregional Recurrence","mean-New Primary Tumor","SEM-Distant Metastasis","SEM-Locoregional Recurrence","SEM-New Primary Tumor","Q1-Distant Metastasis","Q1-Locoregional Recurrence","Q1-New Primary Tumor","Q3-Distant Metastasis","Q3-Locoregional Recurrence","Q3-New Primary Tumor","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF700",0.994215233466688,0.99289218951026,0.998429713392313,361.2415,372.15575,379.72865,86.4147846821075,52.1294718018277,84.56055,260.212575,242.6584,337.448375,404.043625,386.76395,422.008925,380.378454545455,316.871825,401.8018,291.23725,295.34115,477.52545,226.75565,376.133825,41.8102773831384,10.0607563324448,0.833043568092352,0.724828136658422,-0.263536144522132,-0.464289135323175,"ESCA"
"ZFP28",0.544901515513306,0.964589646420596,0.867988386503441,26.48335,75.0455428571429,44.2359,11.3743965127459,24.0693653308715,31.6309,10.55595,18.467325,28.42045,42.8681,95.84455,60.05135,181.480109090909,57.3076320652174,166.6667,29.0456,124.29465,215.84255,12.313775,68.906575,33.7486140048998,5.49191508330795,0.315779136084331,0.174273565145287,-1.66301224117505,-2.5205743454244,"ESCA"
"ZNF585A",0.154635612337681,0.231421259326541,0.876559614496931,163.305075,89.2110071428571,64.3746,54.9182872761338,14.7556084174852,13.0064,96.7163,62.903775,57.8714,186.591275,121.14995,70.8778,140.759127272727,101.05679076087,144.8966,90.2144,121.14075,155.4017,58.202775,130.220875,8.32323747859614,4.70626217904882,0.717941299572477,0.62261226281362,-0.478062203872015,-0.683594102843886,"ESCA"
"ZNF138",0.998212408720771,0.98662802548773,0.989806203591658,229.115025,232.910878571429,245.02565,78.2062416321142,28.7666125098295,73.45705,130.135625,157.364975,208.297125,286.34225,271.738825,281.754175,195.965554545455,228.778070108696,195.1815,195.1039,149.4713,254.9052,145.149675,278.51265,24.9313591061515,9.13740486941139,1.16744021998841,0.999602421336039,0.223348677100378,-0.000573698819623969,"ESCA"
"ZNF429",0.95141799479817,0.997476075223284,0.950689386725782,97.85295,114.589707142857,92.1025,32.5914861260192,28.7531247993706,11.8891,70.9672,25.0275,86.15795,138.73125,171.013925,98.04705,225.573836363636,90.0306505434783,225.8568,63.1881,130.4409,323.4926,22.22415,125.24095,35.5189562378234,7.09438966209611,0.39911831972545,0.279770633427907,-1.32511159411265,-1.83768355923033,"ESCA"
"ZNF470",0.249963957412085,0.97338830719164,0.593339424681056,19.3464,90.1998285714286,33.8048,7.96450535166288,22.874016190598,18.7488,9.3053,20.821275,24.4304,28.2783,128.7888,43.1792,187.483754545455,58.8751788043478,167.6357,33.7752,139.83175,237.6788,14.030425,75.0769,30.2481518500984,5.29402371016774,0.314028161784406,0.201479756400337,-1.67103415027725,-2.31129320307204,"ESCA"
"ZNF100",0.988538302264093,0.84627729492854,0.860164063760148,229.024625,219.651135714286,174.2746,38.6230478170391,33.1541453436831,45.4231,185.179325,140.7247,151.56305,276.8105,274.77555,196.98615,241.819918181818,205.411944565217,296.1656,180.5861,145.41035,319.58735,111.536125,274.841275,30.8051533310103,11.5665879121985,0.849441791683899,0.609747046922397,-0.235413005307395,-0.713717228992971,"ESCA"
"ZNF398",0.996108845497122,0.682870558391913,0.570168295525971,627.087275,615.480778571429,804.55825,112.988347152331,59.3677361262483,326.04395,578.777275,461.8374,641.536275,759.8959,734.822225,967.580225,667.092690909091,641.461333695652,621.6658,628.86015,583.28465,665.26615,452.699925,775.417825,60.6346203400371,17.6316411266338,0.961577517543313,1.01157269709867,-0.0565249298157479,0.01660000350967,"ESCA"
"ZNF498",0.990539685092426,0.304102990164921,0.252844469408901,429.099,443.638192857143,687.11675,146.629726064993,41.0644822684664,203.92345,218.478075,349.26685,585.155025,570.227375,537.214975,789.078475,320.4167,436.2352,321.992,373.29065,291.71735,344.30015,298.984075,498.271025,16.2991890911007,18.5938843410003,1.36146212104425,1.15931653581455,0.445156843900757,0.213274528640477,"ESCA"
"ZNF441",0.527680352078694,0.775390195857391,0.269121999163226,156.2887,110.291628571429,200.07465,53.5641829476719,17.5514879682871,33.05785,103.244375,48.222275,183.545725,175.616575,151.7003,216.603575,207.362681818182,121.362982608696,218.018,104.6447,143.51745,274.0196,67.848125,153.913275,25.6687943987063,5.31334380078378,0.585269160027108,0.47998192809768,-0.772827835095353,-1.05894800725081,"ESCA"
