"gene","T1-T0","T2-T0","T2-T1","T3-T0","T3-T1","T3-T2","T4-T0","T4-T1","T4-T2","T4-T3","T4a-T0","T4a-T1","T4a-T2","T4a-T3","T4a-T4","mean-T0","mean-T1","mean-T2","mean-T3","mean-T4","mean-T4a","SEM-T0","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-T4a","Q1-T0","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-T4a","Q3-T0","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-T4a"
"ZNF544",0.999999999913048,0.999727166007361,0.94846387089073,0.999995033602558,0.996775167377272,0.991625406752834,0.999211943719043,0.990707583126893,0.999963951091452,0.998169697728658,0.999995370906091,0.999983804598685,0.999999936232405,0.999999860046954,0.999992671406575,634.81565,637.856753333333,573.974922222222,608.126020481928,544.68575,589.7754,157.67765,52.4902665297921,43.1506410843166,33.7918268604085,85.8101964125719,NA,555.976825,451.6571,391.394725,429.3928,468.777575,589.7754,713.654475,749.006925,773.5268,734.8574,644.966025,589.7754
"ZNF251",0.971699304815183,0.999930451961824,0.573020783821289,0.9999994321389,0.173667260142753,0.996207255830795,0.948538937018941,0.998857542088109,0.854815700716079,0.733886355540441,1,0.993631545364528,0.99998657817433,0.999999894220888,0.982922063221592,322.26745,229.152983333333,296.076738888889,312.451389156626,195.17285,322.3084,137.46505,17.6898146910933,20.6279081217806,21.7046705981443,51.0395548088359,NA,253.534925,160.8764,209.9595,183.63695,141.845375,322.3084,390.999975,312.5725,379.15615,369.67185,248.682625,322.3084
"ZNF607",0.993109247404941,0.999901384266486,0.923758926920181,0.982541241860408,0.998814626081537,0.580268250849788,0.984543491217823,0.999534674591952,0.969817212202449,0.999978664718123,0.998391242293753,0.999998916277183,0.999442034618276,0.999999999945383,0.99999980578138,206.3537,155.573043333333,185.384266666667,145.350015662651,134.5027,143.7321,60.2139,22.8208603407047,23.7426996402162,12.7048490612762,17.1600487418208,NA,176.24675,77.079675,84.37425,70.81365,111.214225,143.7321,236.46065,173.430275,274.856975,179.57275,156.964575,143.7321
"ZNF334",0.998581530921033,0.991306118574294,0.99390209000016,0.991914750770916,0.992400336505462,0.999999824428997,0.996549054047308,0.999894126484446,0.99999999974141,0.999999999997132,0.999998535045694,0.999980190641911,0.999645215600063,0.999702198728273,0.999811438099992,5.47085,49.8388166666667,70.2611861111111,68.292013253012,68.850325,23.9554,2.55295,24.0185462256226,25.7318925893117,17.2993187292707,26.0808493026133,NA,4.194375,2.207075,4.359375,5.82345,41.63735,23.9554,6.747325,18.6525,52.655975,57.92215,82.003475,23.9554
"ZNF485",0.888535696369462,0.363334176664112,0.102716913036507,0.383442398672738,0.0620462583936409,0.999909604532041,0.223892762984825,0.258193013711566,0.926701489731844,0.885288241077968,0.731441877490479,0.945539463043144,0.999805145222723,0.999565929718668,0.999938464720833,127.0608,93.9733,66.9803694444444,68.9086361445783,45.53855,55.5329,2.80549999999999,9.42131468860011,7.16329159971647,4.22906900442163,4.07914801776466,NA,125.65805,53.519325,36.3833,42.26585,40.477825,55.5329,128.46355,104.286275,71.744025,80.10395,51.773325,55.5329
"ZNF192",0.982160345244336,0.999805747287951,0.803389191029216,0.999888927467749,0.613708012504017,0.999996713649108,0.995307399185411,0.99999787358566,0.996662635147731,0.994197820193895,0.999382181580565,0.999999187378694,0.999929755218066,0.999879828762416,0.99999999671526,654.3751,505.942916666667,597.28445,604.173962650602,522.782425,532.4622,97.7794,46.6979847962691,43.8032782104721,34.862204451727,125.270774765614,NA,605.4854,359.94655,367.308175,373.1764,438.33505,532.4622,703.2648,650.64235,781.412525,829.9848,610.273075,532.4622
"ZNF442",0.99999780287072,0.993898821411766,0.382506701391821,0.997553777659744,0.408201663653833,0.99898418545472,0.999851870375295,0.99316430411506,0.99938862461696,0.999951728762577,0.999937296424406,0.99997377220805,0.986617369692907,0.992026121675964,0.998065811086836,11.9954,10.9973866666667,17.0061194444444,16.0616481927711,14.759525,8.711,4.9437,1.49293259740173,2.1689818232197,1.48967470498089,6.73030592375203,NA,9.52355,4.739825,7.97985,5.87525,7.26645,8.711,14.46725,14.092525,23.18555,22.50895,16.363325,8.711
"ZNF813",0.21130832270506,0.479393795604703,0.680050273416072,0.378242556763226,0.80765744669995,0.996579658481561,0.68451042656264,0.977949579310722,0.999999973800661,0.999898402035296,0.931544536807352,0.996642601786246,0.999995478775756,0.999922186550741,0.999999000959767,204.00275,53.2905266666667,86.4044388888889,77.5927614457831,88.55265,97.9992,74.15475,17.7776418623648,13.3526893355848,10.2258345356124,33.0751218612142,NA,166.925375,6.7115,10.83575,17.07315,42.8834,97.9992,241.080125,61.536225,129.3961,99.2063,135.1143,97.9992
"ZNF26",0.954348217436637,0.945364332029615,0.999998658339356,0.801825247808556,0.786340879233981,0.805012234985055,0.999867812073142,0.970382317017026,0.960524141380384,0.755513968896424,0.999162510855368,0.999970532286664,0.999945094478509,0.997371641313368,0.999949592607621,173.87905,264.05972,267.548344444444,303.535163855422,204.670375,237.3758,67.13135,22.6149201639727,25.5441314025254,16.1935098935326,10.6488782967484,NA,140.313375,192.907825,184.9119,195.73655,188.825525,237.3758,207.444725,295.9323,299.074825,370.3494,218.8299,237.3758
"ZNF69",0.998191266240794,0.808001568097927,0.15109552290697,0.835183392612225,0.108824669746955,0.99982750396361,0.551891346034659,0.273877290301405,0.91169468463421,0.859740945115385,0.999838266264761,0.999999999998311,0.991761616888256,0.994435446265583,0.913424540748339,70.86375,57.4534666666667,31.48795,33.7492831325301,8.3674,57.1662,53.35615,8.49258468181782,7.128462729415,4.642424226238,1.16658520763237,NA,44.185675,14.77755,4.33445,4.1698,6.69055,57.1662,97.541825,81.187425,61.48085,54.36265,10.13755,57.1662
